# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
zwischenzeit	zwischen zeit	# 37
ampelkoalition	ampel koalition	# 36
marktwirtschaft	markt wirtschaft	# 36
parkplatz	park platz	# 36
steuererklärung	steuer erklärung	# 36
überlebend	über lebend	# 36
deutschlehrer	deutsch lehrer	# 35
grundschule	grund schule	# 35
grundwasser	grund wasser	# 35
umweltschutz	umwelt schutz	# 35
untergrund	unter grund	# 35
zusammenbruch	zusammen bruch	# 35
atomkraft	atom kraft	# 34
energiewende	energie wende	# 34
rentenversicherung	rente versicherung	# 34
terroranschlag	terror anschlag	# 34
zeitschrift	zeit schrift	# 34
aussenminister	aussen minister	# 33
dienstleistung	dienst leistung	# 33
fahrradfahren	fahrrad fahren	# 33
grundsatz	grund satz	# 33
sprichwort	sprich wort	# 33
untergang	unter gang	# 33
unterhaltung	unter haltung	# 33
wahlrecht	wahl recht	# 33
überfall	über fall	# 33
übergang	über gang	# 33
dankeschön	dank schön	# 32
grössenordnung	grösse ordnung	# 32
innenpolitik	innen politik	# 32
innenstadt	innen stadt	# 32
menschenleben	mensch leben	# 32
nationalmannschaft	national mannschaft	# 32
terrororganisation	terror organisation	# 32
unterhose	unter hose	# 32
deutschunterricht	deutsch unterricht	# 31
durchmesser	durch messer	# 31
fachleute	fach leute	# 31
freundeskreis	freund kreis	# 31
grossmutter	gross mutter	# 31
immunzelle	immun zelle	# 31
luftwaffe	luft waffe	# 31
sichtweise	sicht weise	# 31
telefonnummer	telefon nummer	# 31
vokabeltrainer	vokabel trainer	# 31
bürgergeld	bürger geld	# 30
energiequelle	energie quelle	# 30
flugblatt	flug blatt	# 30
kilogramm	kilo gramm	# 30
fachkraft	fach kraft	# 29
spielplatz	spiel platz	# 29
spielzeug	spiel zeug	# 29
bauchschmerz	bauch schmerz	# 28
brandenburger	brand burger	# 28
stadtteil	stadt teil	# 28
steuergeld	steuer geld	# 28
wahlbeteiligung	wahl beteiligung	# 28
kaufleute	kauf leute	# 27
körperteil	körper teil	# 27
rentensystem	rente system	# 27
streitkraft	streit kraft	# 27
terrorgruppe	terror gruppe	# 27
wahlgang	wahl gang	# 27
übersicht	über sicht	# 27
datenschutz	date schutz	# 26
fussballspiel	fuss ball spiel	# 26
hausmeister	haus meister	# 26
kindergarten	kind garten	# 26
körpergewicht	körper gewicht	# 26
mitgliedstaat	mitglied staat	# 26
nachtisch	nach tisch	# 26
trinkwasser	trink wasser	# 26
atomkrieg	atom krieg	# 25
autofahrer	auto fahrer	# 25
grundstück	grund stück	# 25
halbinsel	halb insel	# 25
heimatland	heimat land	# 25
kartoffelsalat	kartoffel salat	# 25
klimakrise	klima krise	# 25
klimaziel	klima ziel	# 25
schmerzmittel	schmerz mittel	# 25
sozialarbeiter	sozial arbeiter	# 25
wellenlänge	welle länge	# 25
weltreise	welt reise	# 25
wendepunkt	wende punkt	# 25
wunderwaffe	wunder waffe	# 25
zivilbevölkerung	zivil bevölkerung	# 25
augenhöhe	auge höhe	# 24
extravideo	extra video	# 24
klimapolitik	klima politik	# 24
kreditkarte	kredit karte	# 24
kunstwerk	kunst werk	# 24
naturwissenschaft	natur wissenschaft	# 24
nichtwähler	nicht wähler	# 24
pressekonferenz	presse konferenz	# 24
weltbevölkerung	welt bevölkerung	# 24
weltbild	welt bild	# 24
wohnraum	wohn raum	# 24
deutschlehrerin	deutsch lehrerin	# 23
grossvater	gross vater	# 23
grundstein	grund stein	# 23
jahreszeit	jahr zeit	# 23
misstrauen	miss trauen	# 23
selbstmord	selbst mord	# 23
sonnenbrand	sonne brand	# 23
wahlleute	wahl leute	# 23
wassermoleküle	wasser moleküle	# 23
weiterbildung	weit bildung	# 23
wiederaufbau	wieder aufbau	# 23
zuckerfest	zucker fest	# 23
doktorarbeit	doktor arbeit	# 22
jungfrau	jung frau	# 22
klassenarbeit	klasse arbeit	# 22
kohlenstoff	kohle stoff	# 22
krebszelle	krebs zelle	# 22
nervenzelle	nerv zelle	# 22
raumfahrt	raum fahrt	# 22
relativpronomen	relativ pronomen	# 22
schlachtfeld	schlacht feld	# 22
selbstbewusstsein	selbst bewusstsein	# 22
spielraum	spiel raum	# 22
wahlergebnis	wahl ergebnis	# 22
arschloch	arsch loch	# 21
atomkern	atom kern	# 21
autofahren	auto fahren	# 21
bruchteil	bruch teil	# 21
eisenbahn	eisen bahn	# 21
festland	fest land	# 21
handwerk	hand werk	# 21
haustier	haus tier	# 21
hautfarbe	haut farbe	# 21
politikwissenschaftler	politik wissenschaftler	# 21
sonnenbrille	sonne brille	# 21
überschrift	über schrift	# 21
atomprogramm	atom programm	# 20
briefwahl	brief wahl	# 20
datenbank	date bank	# 20
dienstpflicht	dienst pflicht	# 20
einkommensteuer	einkommen steuer	# 20
geldstrafe	geld strafe	# 20
kraftstoff	kraft stoff	# 20
raumzeit	raum zeit	# 20
sprachenlernen	sprache lernen	# 20
strassenbahn	strasse bahn	# 20
strompreis	strom preis	# 20
testgruppe	test gruppe	# 20
wahlkreis	wahl kreis	# 20
weltraum	welt raum	# 20
zeitplan	zeit plan	# 20
atommüll	atom müll	# 19
bürgerrechtsbewegung	bürger recht bewegung	# 19
finanzminister	finanz minister	# 19
hausverwaltung	haus verwaltung	# 19
hochrechnung	hoch rechnung	# 19
jahrgang	jahr gang	# 19
kindergeld	kind geld	# 19
kreislauf	kreis lauf	# 19
landkreis	land kreis	# 19
luftangriff	luft angriff	# 19
meilenstein	meile stein	# 19
oktoberfest	oktober fest	# 19
privatleben	privat leben	# 19
schweinehund	schwein hund	# 19
sonnenuntergang	sonne untergang	# 19
sozialdemokrat	sozial demokrat	# 19
sozialleistung	sozial leistung	# 19
sternzeichen	stern zeichen	# 19
stockwerk	stock werk	# 19
stoffwechsel	stoff wechsel	# 19
traumberuf	traum beruf	# 19
vielzahl	viel zahl	# 19
asylbewerber	asyl bewerber	# 18
aussagekraft	aussage kraft	# 18
autoindustrie	auto industrie	# 18
autounfall	auto unfall	# 18
datenlage	date lage	# 18
durchbruch	durch bruch	# 18
falschmeldung	falsch meldung	# 18
handystrahlung	handy strahlung	# 18
hausarbeit	haus arbeit	# 18
intensivstation	intensiv station	# 18
justizministerium	justiz ministerium	# 18
kettenreaktion	kette reaktion	# 18
landesverband	land verband	# 18
marktplatz	markt platz	# 18
relativsatz	relativ satz	# 18
testergebnis	test ergebnis	# 18
wertschätzung	wert schätzung	# 18
zeitform	zeit form	# 18
zentralbank	zentral bank	# 18
brandmauer	brand mauer	# 17
bundesministerium	bund ministerium	# 17
computerspiel	computer spiel	# 17
durchfall	durch fall	# 17
fragestellung	frag stellung	# 17
hirnregion	hirn region	# 17
kameramann	kamera mann	# 17
kleinkind	klein kind	# 17
landstrich	land strich	# 17
notizbuch	notiz buch	# 17
rahmenbedingung	rahmen bedingung	# 17
regenwald	regen wald	# 17
schweizerdeutsch	schweizer deutsch	# 17
sozialstaat	sozial staat	# 17
steuerberater	steuer berater	# 17
transportmittel	transport mittel	# 17
wasserstoffbrückenbindung	wasser stoff brücke bindung	# 17
zusammenhalt	zusammen halt	# 17
überprüfung	über prüfung	# 17
überrest	über rest	# 17
abendbrot	abend brot	# 16
bodenschatz	boden schatz	# 16
feinstaub	fein staub	# 16
grundidee	grund idee	# 16
justizminister	justiz minister	# 16
kennzeichen	kenn zeichen	# 16
kleinstadt	klein stadt	# 16
körpersprache	körper sprache	# 16
milchprodukt	milch produkt	# 16
modelwerk	model werk	# 16
mülltonne	müll tonne	# 16
nebenkosten	neben kosten	# 16
präfixverbe	präfix verbe	# 16
satzteil	satz teil	# 16
schwarzmarkt	schwarz markt	# 16
sozialpolitik	sozial politik	# 16
standardsprache	standard sprache	# 16
taschengeld	tasche geld	# 16
vaterland	vater land	# 16
waffenlieferung	waffe lieferung	# 16
wechselwirkung	wechsel wirkung	# 16
zeitdruck	zeit druck	# 16
ausnahmezustand	ausnahme zustand	# 15
blickwinkel	blick winkel	# 15
bundeshaushalt	bund haushalt	# 15
bürgerrecht	bürger recht	# 15
ernstfall	ernst fall	# 15
existenzrecht	existenz recht	# 15
familienmitglied	familie mitglied	# 15
feldherr	feld herr	# 15
feuerwehrleute	feuerwehr leute	# 15
frauenbewegung	frau bewegung	# 15
grundprinzip	grund prinzip	# 15
halbleiter	halb leiter	# 15
hausarzt	haus arzt	# 15
krankenschwester	krank schwester	# 15
krebsrisiko	krebs risiko	# 15
niedergang	nieder gang	# 15
pressesprecher	presse sprecher	# 15
satzstruktur	satz struktur	# 15
schlafengehen	schlaf gehen	# 15
selbstversuch	selbst versuch	# 15
stadtmauer	stadt mauer	# 15
stellvertreter	stell vertreter	# 15
superkraft	super kraft	# 15
tiefpunkt	tief punkt	# 15
umsatzsteuer	umsatz steuer	# 15
wanderameise	wand ameise	# 15
weltlage	welt lage	# 15
überstunde	über stunde	# 15
arbeiterpartei	arbeit partei	# 14
arbeitslosengeld	arbeitslos geld	# 14
bundesversammlung	bund versammlung	# 14
drehbuch	dreh buch	# 14
elternteil	eltern teil	# 14
fahrradfahrer	fahrrad fahrer	# 14
feuerzeug	feuer zeug	# 14
fussballspieler	fuss ball spieler	# 14
hinterhalt	hinter halt	# 14
kaffeemaschine	kaffee maschine	# 14
konfliktpartei	konflikt partei	# 14
kunststoff	kunst stoff	# 14
kurzform	kurz form	# 14
körpergrösse	körper grösse	# 14
langeweile	lang weile	# 14
momentaufnahme	moment aufnahme	# 14
morgenroutine	morgen routine	# 14
mundwasser	mund wasser	# 14
naturkatastrophe	natur katastrophe	# 14
pfandflasche	pfand flasche	# 14
plastikmüll	plastik müll	# 14
schlagwort	schlag wort	# 14
schweinefleisch	schwein fleisch	# 14
stadtstaat	stadt staat	# 14
stilmittel	stil mittel	# 14
strassenverkehr	strasse verkehr	# 14
superagent	super agent	# 14
weltgesundheitsorganisation	welt gesundheit organisation	# 14
zielgruppe	ziel gruppe	# 14
aktiengesellschaft	aktie gesellschaft	# 13
aktienkurs	aktie kurs	# 13
ampelregierung	ampel regierung	# 13
bergwerk	berg werk	# 13
blutzucker	blut zucker	# 13
bundesinnenminister	bund sinn minister	# 13
denkweise	denk weise	# 13
energiebedarf	energie bedarf	# 13
enkelkind	enkel kind	# 13
fahrschule	fahr schule	# 13
feindbild	feind bild	# 13
freibetrag	frei betrag	# 13
gegenspieler	gegen spieler	# 13
grundverb	grund verb	# 13
gruppenarbeit	gruppe arbeit	# 13
jugendschutz	jugend schutz	# 13
lebensunterhalt	leben unter halt	# 13
lichtschutzfaktor	licht schutz faktor	# 13
mauerpark	mauer park	# 13
meeresspiegel	meer spiegel	# 13
menschenrechtsorganisation	mensch recht organisation	# 13
messerangriff	messer angriff	# 13
mittelschicht	mittel schicht	# 13
nachfolge	nach folge	# 13
opferzahl	opfer zahl	# 13
pressefreiheit	presse freiheit	# 13
redemittel	rede mittel	# 13
regenschirm	regen schirm	# 13
schlafmangel	schlaf mangel	# 13
selbstverteidigung	selbst verteidigung	# 13
sonnenenergie	sonne energie	# 13
sozialwahl	sozial wahl	# 13
streitpunkt	streit punkt	# 13
studiengang	studie gang	# 13
theaterstück	theater stück	# 13
verbstamm	verb stamm	# 13
vokabelliste	vokabel liste	# 13
wahlzettel	wahl zettel	# 13
weltmeister	welt meister	# 13
zentralregierung	zentral regierung	# 13
überforderung	über forderung	# 13
überlieferung	über lieferung	# 13
apfelkuchen	apfel kuchen	# 12
asylantrag	asyl antrag	# 12
ausnahmefall	ausnahme fall	# 12
aussenpost	aussen post	# 12
aussprachetraining	aussprache training	# 12
automobilindustrie	auto mobil industrie	# 12
breitengrad	breit grad	# 12
energiepreis	energie preis	# 12
gastarbeiter	gast arbeiter	# 12
gedankenstrich	gedanke strich	# 12
gegenangriff	gegen angriff	# 12
gesetzesvorschlag	gesetz vorschlag	# 12
glaskugel	glas kugel	# 12
haltestelle	halt stelle	# 12
hautkrebs	haut krebs	# 12
hautzelle	haut zelle	# 12
kinderschutz	kind schutz	# 12
kreuzfahrer	kreuz fahrer	# 12
landesebene	land ebene	# 12
landesteil	land steil	# 12
langzeitstudie	lang zeit studie	# 12
mauerfall	mauer fall	# 12
mehrwert	mehr wert	# 12
menschenrechtsverletzung	mensch recht verletzung	# 12
misserfolg	miss erfolg	# 12
nachrichtendienst	nach richten dienst	# 12
nervensystem	nerv system	# 12
privatperson	privat person	# 12
risikogruppe	risiko gruppe	# 12
schattenseite	schatten seite	# 12
stellvertreterkrieg	stell vertreter krieg	# 12
vollidiot	voll idiot	# 12
vollzeit	voll zeit	# 12
wahlalter	wahl alter	# 12
wahrzeichen	wahr zeichen	# 12
wasserstoffauto	wasser stoff auto	# 12
weltgeschichte	welt geschichte	# 12
autobauer	auto bauer	# 11
autohersteller	auto hersteller	# 11
bundespräsidentin	bund präsidentin	# 11
energiekosten	energie kosten	# 11
fahrgast	fahr gast	# 11
fahrstuhl	fahr stuhl	# 11
gedankenspiel	gedanke spiel	# 11
gegenseite	gegen seite	# 11
grundbedeutung	grund bedeutung	# 11
handarbeit	hand arbeit	# 11
handvoll	hand voll	# 11
hausfrau	haus frau	# 11
herzschlag	herz schlag	# 11
hinterbühne	hinter bühne	# 11
industrieland	industrie land	# 11
kernenergie	kern energie	# 11
kohlekraftwerk	kohle kraftwerk	# 11
kundenservice	kunde service	# 11
landgericht	land gericht	# 11
lungenkrebs	lunge krebs	# 11
mittelwert	mittel wert	# 11
postkarte	post karte	# 11
realschule	real schule	# 11
schokoladenkuchen	schokolade kuchen	# 11
schwachstelle	schwach stelle	# 11
sozialabgabe	sozial abgabe	# 11
spielfeld	spiel feld	# 11
spitzensteuersatz	spitze steuer satz	# 11
stammtisch	stamm tisch	# 11
steinbruch	stein bruch	# 11
steuersignal	steuer signal	# 11
stromnetz	strom netz	# 11
wasserkreislauf	wasser kreis lauf	# 11
wassertropfen	wasser tropfen	# 11
wechselkurs	wechsel kurs	# 11
weltmarkt	welt markt	# 11
wohnsitz	wohn sitz	# 11
wortmeldung	wort meldung	# 11
wortspiel	wort spiel	# 11
wundermittel	wunder mittel	# 11
übergangsregierung	über gang regierung	# 11
alleingang	allein gang	# 10
arzttermin	arzt termin	# 10
bayernpartei	bayer partei	# 10
blutzuckerspiegel	blut zucker spiegel	# 10
bombenangriff	bombe angriff	# 10
bundesgesundheitsminister	bund gesundheit minister	# 10
bundesnachrichtendienst	bund nach richten dienst	# 10
bundeszentral	bund zentral	# 10
cannabiskonsum	cannabis konsum	# 10
druckwelle	druck welle	# 10
energieversorgung	energie versorgung	# 10
fachbereich	fach bereich	# 10
fachgesellschaft	fach gesellschaft	# 10
fachsprache	fach sprache	# 10
fahrplan	fahr plan	# 10
faustregel	faust regel	# 10
feststellung	fest stellung	# 10
fleischkonsum	fleisch konsum	# 10
freiraum	frei raum	# 10
freistaat	frei staat	# 10
gottesdienst	gott dienst	# 10
grundgedanke	grund gedanke	# 10
hafenstadt	hafen stadt	# 10
halsschmerz	hals schmerz	# 10
handschrift	hand schrift	# 10
hochkultur	hoch kultur	# 10
industrieanlage	industrie anlage	# 10
kaltmiete	kalt miete	# 10
kaufkraft	kauf kraft	# 10
kinderarbeit	kind arbeit	# 10
klimaabkommen	klima abkommen	# 10
klimaanlage	klima anlage	# 10
kreuzfahrtschiff	kreuz fahrt schiff	# 10
liebesbeziehung	lieb beziehung	# 10
luftraum	luft raum	# 10
meeresgrund	meer grund	# 10
mittelfeld	mittel feld	# 10
nachthimmel	nacht himmel	# 10
nordosten	nord osten	# 10
organspende	organ spende	# 10
parteichef	partei chef	# 10
parteiprogramm	partei programm	# 10
passivsatz	passiv satz	# 10
pfannekuchen	pfanne kuchen	# 10
politikwissenschaft	politik wissenschaft	# 10
radiowelle	radio welle	# 10
risikobewertung	risiko bewertung	# 10
schriftsprache	schrift sprache	# 10
schwachsinn	schwach sinn	# 10
sommerpause	sommer pause	# 10
sozialwohnung	sozial wohnung	# 10
spielball	spiel ball	# 10
spielregel	spiel regel	# 10
sportwettenanbieter	sport wette anbieter	# 10
stellschraube	stell schraube	# 10
stimmenanteil	stimme anteil	# 10
studentenverbindung	student verbindung	# 10
studienplatz	studie platz	# 10
teamleiter	team leiter	# 10
teilzeit	teil zeit	# 10
tempelritter	tempel ritter	# 10
tierhaltung	tier haltung	# 10
weiterentwicklung	weit entwicklung	# 10
weltkarte	welt karte	# 10
wohnhaus	wohn haus	# 10
wählerstimme	wähler stimme	# 10
zeitenwende	zeit wende	# 10
zeitfenster	zeit fenster	# 10
überlaufen	über laufen	# 10
überleitung	über leitung	# 10
aktivsatz	aktiv satz	# 9
anlagevermögen	anlage vermögen	# 9
arbeitslosenversicherung	arbeitslos versicherung	# 9
armeegruppe	armee gruppe	# 9
bauchgefühl	bauch gefühl	# 9
baumstamm	baum stamm	# 9
bluthochdruck	blut hoch druck	# 9
bodentruppe	boden truppe	# 9
bundesinstitut	bund institut	# 9
charaktereigenschaft	charakter eigenschaft	# 9
drogenhandel	droge handel	# 9
erststimme	erst stimme	# 9
fachbegriff	fach begriff	# 9
fallschirm	fall schirm	# 9
falschinformation	falsch information	# 9
feuerball	feuer ball	# 9
filterkaffee	filter kaffee	# 9
forschungseinrichtung	forschung sein richtung	# 9
fragewort	frag wort	# 9
freitagabend	freitag abend	# 9
gegenargument	gegen argument	# 9
gegengewicht	gegen gewicht	# 9
gegenmittel	gegen mittel	# 9
gegenstück	gegen stück	# 9
gegenwind	gegen wind	# 9
geheimtipp	geheim tipp	# 9
gelbwest	gelb west	# 9
gesamtbevölkerung	gesamt bevölkerung	# 9
grauzone	grau zone	# 9
grippeimpfung	grippe impfung	# 9
grossdeutsch	gross deutsch	# 9
haarschnitt	haar schnitt	# 9
halbzeit	halb zeit	# 9
hausnummer	haus nummer	# 9
hosentasche	hose tasche	# 9
infektionsschutzgesetz	infektion schutz gesetz	# 9
inneneinheit	innen einheit	# 9
internetseite	internet seite	# 9
jugendsprache	jugend sprache	# 9
kamerateam	kamera team	# 9
kaufmann	kauf mann	# 9
kinofilm	kino film	# 9
kofferraum	koffer raum	# 9
kohlenstoffatom	kohle stoff atom	# 9
konkurrenzkampf	konkurrenz kampf	# 9
kontaktperson	kontakt person	# 9
kugellager	kugel lager	# 9
landkarte	land karte	# 9
laufbahn	lauf bahn	# 9
laufzeit	lauf zeit	# 9
literaturepoche	literatur epoche	# 9
luxusprodukt	luxus produkt	# 9
markenzeichen	mark zeichen	# 9
maschinengewehr	maschine gewehr	# 9
meeresboden	meer boden	# 9
misshandlung	miss handlung	# 9
mittelmeerraum	mittel meer raum	# 9
modelagentur	model agentur	# 9
mülltrennung	müll trennung	# 9
nebeneffekt	neben effekt	# 9
niederschlag	nieder schlag	# 9
nordwesten	nord westen	# 9
profispieler	profi spieler	# 9
protestbewegung	protest bewegung	# 9
prozentsatz	prozent satz	# 9
reflexivpronomen	reflexiv pronomen	# 9
rentenkasse	rente kasse	# 9
restmüll	rest müll	# 9
rückenschmerz	rücken schmerz	# 9
satzstellung	satz stellung	# 9
schnelltest	schnell test	# 9
selbstvertrauen	selbst vertrauen	# 9
selbstwahrnehmung	selbst wahrnehmung	# 9
sommerzeit	sommer zeit	# 9
sonnenstrahlung	sonne strahlung	# 9
sportverein	sport verein	# 9
stellwerk	stell werk	# 9
steuereinnahme	steuer einnahme	# 9
strassenrand	strasse rand	# 9
strassenseite	strasse seite	# 9
strombedarf	strom bedarf	# 9
superkolonie	super kolonie	# 9
tierwohl	tier wohl	# 9
traumreise	traum reise	# 9
unterwelt	unter welt	# 9
waffensystem	waffe system	# 9
wahlsystem	wahl system	# 9
wahlwerbung	wahl werbung	# 9
wasserleitung	wasser leitung	# 9
weltreich	welt reich	# 9
wiedergeburt	wieder geburt	# 9
wirtschaftskreislauf	wirtschaft kreis lauf	# 9
wohlbefinden	wohl befinden	# 9
zusammenspiel	zusammen spiel	# 9
absatzmarkt	absatz markt	# 8
arbeitslosenzahl	arbeitslos zahl	# 8
ausnahmesituation	ausnahme situation	# 8
aussagesatz	aussage satz	# 8
ausseneinheit	aussen einheit	# 8
autobranche	auto branche	# 8
autogramm	auto gramm	# 8
automechaniker	auto mechaniker	# 8
ballermann	ball mann	# 8
ballspiel	ball spiel	# 8
ballspielplatz	ball spiel platz	# 8
buchdruck	buch druck	# 8
bundesbehörde	bund behörde	# 8
bundesfinanzminister	bund finanz minister	# 8
bundesgesundheitsministerium	bund gesundheit ministerium	# 8
bündnisfall	bündnis fall	# 8
datenmenge	date menge	# 8
datensatz	date satz	# 8
doktortitel	doktor titel	# 8
durchführung	durch führung	# 8
durchschnittswert	durch schnitt wert	# 8
einnahmequelle	einnahme quelle	# 8
energiekrise	energie krise	# 8
eurozone	euro zone	# 8
fachwerkhaus	fach werk haus	# 8
fahrradtour	fahrrad tour	# 8
fortbildung	fort bildung	# 8
frauenrecht	frau recht	# 8
freispruch	frei spruch	# 8
fremdherrschaft	fremd herrschaft	# 8
frischkäse	frisch käse	# 8
fussboden	fuss boden	# 8
gegenentwurf	gegen entwurf	# 8
gegenleistung	gegen leistung	# 8
gehirnzelle	gehirn zelle	# 8
gewinnspiel	gewinn spiel	# 8
gitarrenmusik	gitarre musik	# 8
gleichstellung	gleich stellung	# 8
gradnetz	grad netz	# 8
grundfreibetrag	grund frei betrag	# 8
grundlagenforschung	grund lage forschung	# 8
grundordnung	grund ordnung	# 8
handumdrehen	hand umdrehen	# 8
hirnaktivität	hirn aktivität	# 8
hotelzimmer	hotel zimmer	# 8
innenleben	innen leben	# 8
innenministerium	innen ministerium	# 8
intelligenztest	intelligenz test	# 8
internetkonzern	internet konzern	# 8
jahrmillion	jahr million	# 8
kaffeepause	kaffee pause	# 8
kaiserzeit	kaiser zeit	# 8
kampfbegriff	kampf begriff	# 8
kinderzimmer	kind zimmer	# 8
kleingeld	klein geld	# 8
klimaneutralität	klima neutralität	# 8
krebserkrankung	krebs erkrankung	# 8
kreuzfahrerstaat	kreuz fahr staat	# 8
krisenzeit	krise zeit	# 8
königreiche	könig reiche	# 8
kühlwasser	kühl wasser	# 8
lagerfeuer	lager feuer	# 8
landstrasse	land strasse	# 8
lautsprecher	laut sprecher	# 8
lautstärke	laut stärke	# 8
lehrermangel	lehrer mangel	# 8
luftkrieg	luft krieg	# 8
marktführer	markt führer	# 8
maskenpflicht	maske pflicht	# 8
massenmord	mass mord	# 8
massentierhaltung	mass tier haltung	# 8
militärbündnis	militär bündnis	# 8
musikvideo	musik video	# 8
muttermilch	mutter milch	# 8
nachrichtenagentur	nach richten agentur	# 8
nachtschicht	nacht schicht	# 8
nationalbank	national bank	# 8
naturgesetz	natur gesetz	# 8
parteimitglied	partei mitglied	# 8
parteiverbot	partei verbot	# 8
personalmangel	personal mangel	# 8
pflichtversicherung	pflicht versicherung	# 8
planwirtschaft	plan wirtschaft	# 8
redezeit	rede zeit	# 8
reformpaket	reform paket	# 8
sauerstoffatom	sauer stoff atom	# 8
selbstverwaltung	selbst verwaltung	# 8
sozialarbeiterin	sozial arbeiterin	# 8
spazierengehen	spazieren gehen	# 8
stadtbild	stadt bild	# 8
stammbaum	stamm baum	# 8
stammzelle	stamm zelle	# 8
standarddeutsch	standard deutsch	# 8
sternensystem	stern system	# 8
strategiespiel	strategie spiel	# 8
studentenstadt	student stadt	# 8
superwaffe	super waffe	# 8
süsswasser	süss wasser	# 8
taschenlampe	tasche lampe	# 8
taxifahrer	taxi fahrer	# 8
treppenhaus	treppe haus	# 8
videoschnitt	video schnitt	# 8
vollverb	voll verb	# 8
waffengewalt	waffe gewalt	# 8
waffenruhe	waffe ruhe	# 8
wahlversprechen	wahl versprechen	# 8
wasserversorgung	wasser versorgung	# 8
weltuntergang	welt untergang	# 8
winterkrieg	winter krieg	# 8
wortstellung	wort stellung	# 8
wortwahl	wort wahl	# 8
zeitangabe	zeit angabe	# 8
zeitreise	zeit reise	# 8
zivildienst	zivil dienst	# 8
zwischenfall	zwischen fall	# 8
übergabe	über gabe	# 8
überlebenskampf	über leben kampf	# 8
anklageschrift	anklage schrift	# 7
aussengrenze	aussen grenze	# 7
aussenwelt	aussen welt	# 7
autokonzern	auto konzern	# 7
bankgeschäft	bank geschäft	# 7
bankkonto	bank konto	# 7
brandanschlag	brand anschlag	# 7
breitenkreis	breit kreis	# 7
briefmarke	brief marke	# 7
buchhaltung	buch haltung	# 7
buchladen	buch laden	# 7
bundesverband	bund verband	# 7
bundesverkehrsministerium	bund verkehr ministerium	# 7
bürobetrieb	büro betrieb	# 7
cannabisgesetz	cannabis gesetz	# 7
deutschprüfung	deutsch prüfung	# 7
dienststelle	dienst stelle	# 7
dönerladen	döner laden	# 7
einkommensteuererklärung	einkommen steuererklärung	# 7
einsatzkraft	einsatz kraft	# 7
elternzeit	eltern zeit	# 7
extremfall	extrem fall	# 7
fachgebiet	fach gebiet	# 7
fernbeziehung	fern beziehung	# 7
festplatt	fest platt	# 7
finanzbuchhaltung	finanz buch haltung	# 7
fleischsalat	fleisch salat	# 7
flächenbrand	fläche brand	# 7
folgezeit	folge zeit	# 7
freigabe	frei gabe	# 7
fussballbund	fuss ball bund	# 7
gedankenexperiment	gedanke experiment	# 7
gegenbewegung	gegen bewegung	# 7
geldwäsche	geld wäsche	# 7
gemeinwesen	gemein wesen	# 7
gesamtkonzept	gesamt konzept	# 7
gesamtsituation	gesamt situation	# 7
grossfamilie	gross familie	# 7
grosshändler	gross händler	# 7
grossreich	gross reich	# 7
grundeinkommen	grund einkommen	# 7
grundproblem	grund problem	# 7
hafenmeister	hafen meister	# 7
halbmond	halb mond	# 7
handyverbot	handy verbot	# 7
hautkrebsrisiko	haut krebs risiko	# 7
heisshunger	heiss hunger	# 7
hilfeleistung	hilfe leistung	# 7
hochphase	hoch phase	# 7
ideenlehre	idee lehre	# 7
jugendhilfe	jugend hilfe	# 7
juristendeutsch	jurist deutsch	# 7
kampfeinsatz	kampf einsatz	# 7
kernkraftwerk	kern kraftwerk	# 7
kettenhemd	kette hemd	# 7
kirchenstaat	kirche staat	# 7
klartext	klar text	# 7
klassenfeier	klasse feier	# 7
klassentreffen	klasse treffen	# 7
kopfhaut	kopf haut	# 7
kreuzritter	kreuz ritter	# 7
kulturwandel	kultur wandel	# 7
körperkontakt	körper kontakt	# 7
körperverletzung	körper verletzung	# 7
küstenstadt	küste stadt	# 7
landbevölkerung	land bevölkerung	# 7
liebesleben	lieb leben	# 7
literaturgeschichte	literatur geschichte	# 7
lohnsteuer	lohn steuer	# 7
luftwiderstand	luft widerstand	# 7
längengrad	länge grad	# 7
markenname	mark name	# 7
marktanteil	markt anteil	# 7
meerwasser	meer wasser	# 7
meisterwerk	meist werk	# 7
mondfisch	mond fisch	# 7
mondoberfläche	mond oberfläche	# 7
mordanschlag	mord anschlag	# 7
mundschutz	mund schutz	# 7
