text,stored_top,stored_expected,stored,n,a_top,a_expected,a,a_tokens,b_top,b_expected,b,b_tokens,model
Ist leider nicht immer möglich oder fast nie.,A2,0.89,"{""B2"": 0.02, ""A1"": 0.33, ""A2"": 0.47000000000000003, ""C1"": 0.0, ""B1"": 0.18}",116,A2,1.08,"{""B2"": 0.02, ""A1"": 0.15, ""B1"": 0.19, ""C1"": 0.0, ""A2"": 0.64}",488,A2,0.83,"{""A2"": 0.68, ""A1"": 0.25, ""B1"": 0.06, ""C1"": 0.0, ""B2"": 0.01}",157.9,jev-1.13.0
Die Erkenntnisse aus den Unis werden umgesetzt.,B2,2.6,"{""B2"": 0.68, ""B1"": 0.24, ""A1"": 0.0, ""C1"": 0.0, ""A2"": 0.08}",117,B2,2.35,"{""A1"": 0.01, ""A2"": 0.18, ""C1"": 0.0, ""B2"": 0.55, ""B1"": 0.26}",492,A2,1.63,"{""A2"": 0.46, ""A1"": 0.01, ""B1"": 0.42, ""C1"": 0.0, ""B2"": 0.11}",157.9,jev-1.13.0
"Das alles, das ist der Landesregierung Bayerns wichtig, geht aber nur in einem engen Rahmen.",B1,2.42,"{""B1"": 0.59, ""A2"": 0.0, ""C1"": 0.01, ""B2"": 0.4, ""A1"": 0.0}",118,B1,2.4,"{""B1"": 0.61, ""B2"": 0.38, ""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.01}",503,B2,2.51,"{""A2"": 0.02, ""A1"": 0.0, ""B1"": 0.45, ""C1"": 0.0, ""B2"": 0.53}",157.9,jev-1.13.0
"Die Achse Berlin, Rom, Tokio.",C1,2.08,"{""C1"": 0.27, ""A2"": 0.15, ""B2"": 0.17, ""B1"": 0.17, ""A1"": 0.24}",119,A1,0.8,"{""A2"": 0.29, ""B1"": 0.13, ""A1"": 0.51, ""B2"": 0.03, ""C1"": 0.04}",488,A1,0.61,"{""A2"": 0.42, ""A1"": 0.49, ""B1"": 0.08, ""C1"": 0.0, ""B2"": 0.01}",157.9,jev-1.13.0
"In denen geht es um das Dunkle, tief in der Seele Verborgene, Märchen.",C1,3.52,"{""C1"": 0.66, ""B1"": 0.14, ""B2"": 0.2, ""A2"": 0.0, ""A1"": 0.0}",120,C1,3.52,"{""A2"": 0.0, ""B1"": 0.15, ""A1"": 0.0, ""C1"": 0.67, ""B2"": 0.18}",501,B2,2.74,"{""A2"": 0.01, ""A1"": 0.0, ""B1"": 0.37, ""C1"": 0.13, ""B2"": 0.49}",157.9,jev-1.13.0
Einmal NAND und NOR NAND bedeutet Nicht Und.,C1,2.59,"{""A2"": 0.19, ""A1"": 0.08, ""C1"": 0.35, ""B1"": 0.14, ""B2"": 0.24}",121,C1,2.63,"{""C1"": 0.39, ""B2"": 0.19, ""A2"": 0.2, ""A1"": 0.07, ""B1"": 0.15}",490,A2,1.64,"{""B2"": 0.17, ""A1"": 0.23, ""A2"": 0.29, ""B1"": 0.2, ""C1"": 0.11}",157.6,jev-1.13.0
Ein schwarzes Loch von der Masse unserer Sonne verliert in: Jahren nur: seiner Masse.,C1,3.42,"{""C1"": 0.56, ""B2"": 0.31, ""A1"": 0.0, ""B1"": 0.12, ""A2"": 0.01}",122,C1,3.55,"{""B2"": 0.26, ""A2"": 0.01, ""B1"": 0.08, ""C1"": 0.65, ""A1"": 0.0}",500,B2,2.62,"{""B2"": 0.32, ""A1"": 0.01, ""A2"": 0.16, ""B1"": 0.27, ""C1"": 0.24}",157.6,jev-1.13.0
Genutzt wird AWS vor allem von professionellen Kunden.,B2,2.14,"{""C1"": 0.0, ""A2"": 0.33, ""A1"": 0.01, ""B2"": 0.49, ""B1"": 0.17}",123,A2,1.67,"{""B2"": 0.25, ""B1"": 0.19, ""A2"": 0.54, ""A1"": 0.02, ""C1"": 0.0}",492,A2,0.73,"{""B2"": 0.0, ""A1"": 0.38, ""A2"": 0.51, ""C1"": 0.0, ""B1"": 0.11}",157.6,jev-1.13.0
"Man, ich kann mit dem Text jetzt unterschiedlich arbeiten.",A2,1.27,"{""A1"": 0.03, ""C1"": 0.0, ""B1"": 0.27, ""B2"": 0.02, ""A2"": 0.67}",124,A2,1.35,"{""B2"": 0.03, ""B1"": 0.31, ""A1"": 0.02, ""C1"": 0.0, ""A2"": 0.64}",494,A2,1.24,"{""B2"": 0.04, ""A1"": 0.15, ""A2"": 0.5, ""B1"": 0.31, ""C1"": 0.0}",157.6,jev-1.13.0
"Und ein Weg, das zu tun, sind MHC-Klasse-I-Moleküle.",C1,3.6,"{""B2"": 0.32, ""C1"": 0.64, ""B1"": 0.04, ""A1"": 0.0, ""A2"": 0.0}",125,C1,3.77,"{""B1"": 0.03, ""C1"": 0.8, ""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.17}",499,B2,2.97,"{""B2"": 0.43, ""A1"": 0.0, ""A2"": 0.06, ""B1"": 0.21, ""C1"": 0.3}",157.6,jev-1.13.0
"Und die Autoren wissen natürlich, dass die Welt anders ist, als von ihnen realistisch beschrieben.",B2,2.86,"{""B2"": 0.74, ""A1"": 0.0, ""A2"": 0.0, ""B1"": 0.2, ""C1"": 0.06}",126,B2,2.74,"{""A2"": 0.0, ""B2"": 0.56, ""C1"": 0.09, ""A1"": 0.0, ""B1"": 0.35}",499,B2,2.58,"{""B2"": 0.57, ""A1"": 0.0, ""A2"": 0.01, ""B1"": 0.41, ""C1"": 0.01}",157.6,jev-1.13.0
Später orientiert sich Großbritannien nach Osten.,A2,1.5,"{""A2"": 0.45, ""A1"": 0.07, ""C1"": 0.0, ""B2"": 0.09, ""B1"": 0.39}",127,A2,1.13,"{""B1"": 0.2, ""A2"": 0.7, ""A1"": 0.09, ""B2"": 0.01, ""C1"": 0.0}",495,A1,0.43,"{""B2"": 0.0, ""A1"": 0.62, ""A2"": 0.33, ""B1"": 0.05, ""C1"": 0.0}",157.6,jev-1.13.0
Es gibt für alles ein erstes Mal.,A1,0.43,"{""C1"": 0.0, ""A2"": 0.31, ""B2"": 0.0, ""B1"": 0.06, ""A1"": 0.63}",128,A1,0.51,"{""A1"": 0.5700000000000001, ""C1"": 0.0, ""B1"": 0.08, ""A2"": 0.35, ""B2"": 0.0}",487,A1,0.12,"{""B2"": 0.0, ""A1"": 0.88, ""A2"": 0.12, ""B1"": 0.0, ""C1"": 0.0}",157.6,jev-1.13.0
Wie groß schätzt die Chancen ein?,A2,1.52,"{""A2"": 0.42, ""A1"": 0.08, ""C1"": 0.0, ""B2"": 0.1, ""B1"": 0.4}",129,A2,1.56,"{""C1"": 0.0, ""A2"": 0.45, ""B2"": 0.13, ""A1"": 0.06, ""B1"": 0.36}",488,A2,1.15,"{""B2"": 0.04, ""A1"": 0.15, ""A2"": 0.59, ""C1"": 0.0, ""B1"": 0.22}",157.6,jev-1.13.0
Bist du schon wach oder noch müde?,A1,0.03,"{""A2"": 0.03, ""A1"": 0.97, ""B1"": 0.0, ""B2"": 0.0, ""C1"": 0.0}",130,A1,0.1,"{""B1"": 0.01, ""A1"": 0.91, ""B2"": 0.0, ""C1"": 0.0, ""A2"": 0.08}",491,A1,0.08,"{""B2"": 0.0, ""A1"": 0.92, ""A2"": 0.08, ""B1"": 0.0, ""C1"": 0.0}",157.6,jev-1.13.0
"Du könntest mir beibringen, was ich nicht weiß.",B1,2.42,"{""C1"": 0.0, ""B2"": 0.43, ""A2"": 0.01, ""B1"": 0.56, ""A1"": 0.0}",131,B1,2.4,"{""B1"": 0.48, ""C1"": 0.0, ""B2"": 0.46, ""A2"": 0.06, ""A1"": 0.0}",494,A2,1.52,"{""B2"": 0.03, ""A1"": 0.0, ""A2"": 0.51, ""B1"": 0.46, ""C1"": 0.0}",157.6,jev-1.13.0
"Ich würde sagen, das ist auch dringend notwendig.",B2,2.6,"{""C1"": 0.0, ""A1"": 0.0, ""B2"": 0.64, ""B1"": 0.32, ""A2"": 0.04}",132,B2,2.61,"{""A2"": 0.03, ""B1"": 0.33, ""A1"": 0.0, ""B2"": 0.64, ""C1"": 0.0}",489,A2,1.49,"{""B2"": 0.12, ""A1"": 0.01, ""A2"": 0.61, ""C1"": 0.0, ""B1"": 0.26}",157.6,jev-1.13.0
"Die erste ist: “eine Aufgabe oder ein Projekt erfolgreich abschließen”, “eine Aufgabe erledigen”, “etwas erreichen”, “etwas bewältigen”.",A2,1.05,"{""B2"": 0.01, ""A2"": 0.46, ""C1"": 0.01, ""A1"": 0.26, ""B1"": 0.26}",133,A2,1.17,"{""B1"": 0.34, ""A1"": 0.19, ""A2"": 0.46, ""C1"": 0.0, ""B2"": 0.01}",516,A2,1.48,"{""B2"": 0.07, ""A1"": 0.05, ""A2"": 0.51, ""B1"": 0.36, ""C1"": 0.01}",157.6,jev-1.13.0
Alkohol ist wirklich also eine super Droge.,A1,0.53,"{""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.08, ""A1"": 0.57, ""A2"": 0.34}",134,A1,0.56,"{""A2"": 0.4, ""C1"": 0.0, ""B2"": 0.0, ""B1"": 0.08, ""A1"": 0.52}",490,A1,0.46,"{""B2"": 0.01, ""A1"": 0.6, ""A2"": 0.35, ""B1"": 0.04, ""C1"": 0.0}",157.6,jev-1.13.0
Der Ursprung dafür soll im Jahr 2013 liegen.,B2,2.43,"{""B2"": 0.48, ""C1"": 0.0, ""A2"": 0.05, ""A1"": 0.0, ""B1"": 0.47}",135,B2,2.47,"{""C1"": 0.0, ""A2"": 0.04, ""B1"": 0.45, ""A1"": 0.0, ""B2"": 0.51}",494,A2,1.02,"{""B2"": 0.01, ""A1"": 0.09, ""A2"": 0.81, ""C1"": 0.0, ""B1"": 0.09}",157.6,jev-1.13.0
Einerseits genießt Wissenschaft gerade viel Aufmerksamkeit.,B1,2.18,"{""C1"": 0.0, ""A1"": 0.0, ""B2"": 0.26, ""B1"": 0.66, ""A2"": 0.08}",136,B1,2.14,"{""B1"": 0.67, ""C1"": 0.01, ""A1"": 0.0, ""A2"": 0.1, ""B2"": 0.22}",490,B1,1.57,"{""B2"": 0.07, ""A1"": 0.06, ""A2"": 0.38, ""C1"": 0.0, ""B1"": 0.49}",157.6,jev-1.13.0
"Und das ist das Tolle, was wir heute machen können.",B1,1.76,"{""A1"": 0.07, ""B1"": 0.81, ""B2"": 0.01, ""A2"": 0.11, ""C1"": 0.0}",137,B1,1.55,"{""C1"": 0.0, ""B1"": 0.64, ""A1"": 0.11, ""B2"": 0.01, ""A2"": 0.24}",492,A2,1.01,"{""B2"": 0.02, ""A1"": 0.29, ""A2"": 0.43, ""B1"": 0.26, ""C1"": 0.0}",157.6,jev-1.13.0
Und deshalb kann ich jetzt nicht mit dir sprechen.,A2,1.23,"{""B2"": 0.01, ""B1"": 0.34, ""A1"": 0.13, ""A2"": 0.52, ""C1"": 0.0}",138,B1,1.5,"{""B1"": 0.54, ""A2"": 0.39, ""A1"": 0.06, ""B2"": 0.01, ""C1"": 0.0}",489,A2,1.02,"{""B2"": 0.01, ""A1"": 0.19, ""A2"": 0.61, ""B1"": 0.19, ""C1"": 0.0}",157.6,jev-1.13.0
Das lässt sich nur schwer belegen.,B2,2.78,"{""A2"": 0.03, ""A1"": 0.0, ""B2"": 0.79, ""C1"": 0.01, ""B1"": 0.17}",139,B2,2.66,"{""B1"": 0.23, ""C1"": 0.01, ""A2"": 0.06, ""A1"": 0.0, ""B2"": 0.7}",487,B1,2.09,"{""B2"": 0.32, ""A1"": 0.0, ""A2"": 0.23, ""B1"": 0.45, ""C1"": 0.0}",157.6,jev-1.13.0
"Zum Beispiel wird Konrad, der König von Jerusalem, bei einem Anschlag getötet.",B2,2.89,"{""A1"": 0.0, ""B1"": 0.11, ""A2"": 0.0, ""B2"": 0.89, ""C1"": 0.0}",140,B2,2.87,"{""A1"": 0.0, ""B1"": 0.14, ""C1"": 0.01, ""A2"": 0.0, ""B2"": 0.85}",499,B1,2.07,"{""B2"": 0.26, ""A1"": 0.0, ""A2"": 0.17, ""B1"": 0.56, ""C1"": 0.0}",157.6,jev-1.13.0
"Dann kann ich zum Konzert gehen."" Nein!",A2,0.99,"{""A2"": 0.56, ""A1"": 0.23, ""B2"": 0.01, ""C1"": 0.0, ""B1"": 0.2}",141,A2,0.86,"{""B2"": 0.01, ""A1"": 0.28, ""B1"": 0.12, ""C1"": 0.0, ""A2"": 0.59}",488,A1,0.47,"{""A2"": 0.47, ""B2"": 0.0, ""B1"": 0.0, ""A1"": 0.53, ""C1"": 0.0}",157.8,jev-1.13.0
Und wie viele Leute haben die Veränderungen gemacht?,A2,1.23,"{""C1"": 0.0, ""A1"": 0.01, ""B2"": 0.01, ""B1"": 0.22, ""A2"": 0.76}",142,B1,1.59,"{""A2"": 0.4, ""B1"": 0.58, ""B2"": 0.01, ""C1"": 0.0, ""A1"": 0.01}",488,A2,1.03,"{""A2"": 0.95, ""B2"": 0.0, ""B1"": 0.04, ""A1"": 0.01, ""C1"": 0.0}",157.8,jev-1.13.0
Das würde auch wirtschaftliche Folgen mit sich bringen.,B2,2.85,"{""A2"": 0.03, ""A1"": 0.0, ""B1"": 0.09, ""B2"": 0.88, ""C1"": 0.0}",143,B2,2.81,"{""C1"": 0.0, ""B1"": 0.15, ""A2"": 0.02, ""B2"": 0.83, ""A1"": 0.0}",492,B1,2.13,"{""A2"": 0.19, ""B2"": 0.32, ""B1"": 0.49, ""A1"": 0.0, ""C1"": 0.0}",157.8,jev-1.13.0
Zudem gilt für viele Politiker nach wie vor das Prinzip der Sicherheit.,B2,2.52,"{""B1"": 0.48, ""A2"": 0.01, ""C1"": 0.02, ""B2"": 0.49, ""A1"": 0.0}",144,B1,2.38,"{""B2"": 0.37, ""A2"": 0.01, ""C1"": 0.01, ""A1"": 0.0, ""B1"": 0.61}",493,B1,2.43,"{""A2"": 0.04, ""B2"": 0.45, ""B1"": 0.5, ""A1"": 0.0, ""C1"": 0.01}",157.8,jev-1.13.0
Vielleicht greifen wir die anderen Minderheiten in einem anderen Video auf.,B1,1.7,"{""B2"": 0.06, ""C1"": 0.0, ""A2"": 0.34, ""A1"": 0.01, ""B1"": 0.59}",145,B1,1.9,"{""C1"": 0.0, ""B2"": 0.05, ""A2"": 0.13, ""A1"": 0.0, ""B1"": 0.81}",498,A2,1.35,"{""A2"": 0.53, ""B2"": 0.02, ""B1"": 0.38, ""A1"": 0.07, ""C1"": 0.0}",157.8,jev-1.13.0
"Und dann ist da noch die NATO, auch das ein wichtiger Schritt.",B1,1.61,"{""B2"": 0.06, ""C1"": 0.0, ""B1"": 0.54, ""A2"": 0.35, ""A1"": 0.05}",146,B1,1.8,"{""B2"": 0.05, ""B1"": 0.72, ""A1"": 0.02, ""A2"": 0.21, ""C1"": 0.0}",493,A2,1.19,"{""A2"": 0.61, ""B2"": 0.02, ""B1"": 0.26, ""A1"": 0.11, ""C1"": 0.0}",157.8,jev-1.13.0
Die wiederum bestehen aus noch kleineren Teilchen.,B1,1.85,"{""A2"": 0.27, ""A1"": 0.01, ""B1"": 0.59, ""C1"": 0.01, ""B2"": 0.12}",147,B1,1.72,"{""B1"": 0.57, ""A1"": 0.02, ""C1"": 0.01, ""A2"": 0.33, ""B2"": 0.07}",491,B1,1.55,"{""A2"": 0.43, ""B2"": 0.06, ""B1"": 0.45, ""A1"": 0.05, ""C1"": 0.01}",157.8,jev-1.13.0
"Pro Monat stehen jedem und jeder Abgeordneten etwa 20.000 Euro zur Verfügung, um eigene Mitarbeiter einzustellen.",B2,2.64,"{""C1"": 0.01, ""B2"": 0.63, ""B1"": 0.35, ""A2"": 0.01, ""A1"": 0.0}",148,B1,2.38,"{""C1"": 0.01, ""B1"": 0.55, ""A2"": 0.04, ""B2"": 0.4, ""A1"": 0.0}",509,B1,2.29,"{""A2"": 0.09, ""B2"": 0.38, ""B1"": 0.53, ""A1"": 0.0, ""C1"": 0.0}",157.8,jev-1.13.0
Beide treten 1937 auch in die NSDAP ein.,B2,2.06,"{""A1"": 0.0, ""B2"": 0.39, ""C1"": 0.03, ""A2"": 0.39, ""B1"": 0.19}",149,A2,1.78,"{""A2"": 0.51, ""B1"": 0.22, ""B2"": 0.25, ""A1"": 0.0, ""C1"": 0.02}",494,A2,1.24,"{""A2"": 0.78, ""B2"": 0.04, ""B1"": 0.17, ""A1"": 0.01, ""C1"": 0.0}",157.8,jev-1.13.0
"Stella, Stella, ich konnte doch nichts dafür.",A2,1.42,"{""B2"": 0.12, ""A1"": 0.02, ""B1"": 0.2, ""C1"": 0.0, ""A2"": 0.66}",150,A2,1.7,"{""A2"": 0.54, ""B2"": 0.26, ""C1"": 0.0, ""A1"": 0.01, ""B1"": 0.19}",490,A2,0.68,"{""A2"": 0.66, ""B2"": 0.0, ""B1"": 0.01, ""A1"": 0.33, ""C1"": 0.0}",157.8,jev-1.13.0
"Ihr merkt, die zeitlichen Grenzen fassen die Wirklichkeit nur ungefähr.",C1,3.17,"{""B2"": 0.17, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.33, ""C1"": 0.5}",151,C1,3.31,"{""C1"": 0.53, ""B1"": 0.22, ""B2"": 0.25, ""A2"": 0.0, ""A1"": 0.0}",498,B1,2.44,"{""B2"": 0.37, ""A2"": 0.03, ""B1"": 0.55, ""A1"": 0.0, ""C1"": 0.05}",157.8,jev-1.13.0
Aber unter den gleichen Umständen würde ich aus heutiger Sicht dasselbe wieder tun.,B2,2.71,"{""A2"": 0.01, ""A1"": 0.0, ""B1"": 0.28, ""B2"": 0.7, ""C1"": 0.01}",152,B2,2.76,"{""C1"": 0.01, ""A1"": 0.0, ""B2"": 0.75, ""A2"": 0.01, ""B1"": 0.23}",498,B2,2.78,"{""A2"": 0.03, ""B2"": 0.81, ""B1"": 0.16, ""A1"": 0.0, ""C1"": 0.0}",157.8,jev-1.13.0
"An die Einheit des Ortes hält sich Lessing in ""Emilia Galotti"" nicht.",C1,3.72,"{""B2"": 0.22, ""A2"": 0.0, ""C1"": 0.75, ""A1"": 0.0, ""B1"": 0.03}",153,C1,3.58,"{""A2"": 0.0, ""B1"": 0.08, ""B2"": 0.26, ""C1"": 0.66, ""A1"": 0.0}",498,B2,3.22,"{""A2"": 0.0, ""B2"": 0.44, ""B1"": 0.17, ""A1"": 0.0, ""C1"": 0.39}",157.8,jev-1.13.0
"Ja, ich fahre jetzt zurück nach Kansas.",A1,0.16,"{""C1"": 0.0, ""A1"": 0.85, ""B1"": 0.01, ""B2"": 0.0, ""A2"": 0.14}",154,A1,0.17,"{""C1"": 0.0, ""B2"": 0.0, ""A1"": 0.84, ""B1"": 0.01, ""A2"": 0.15}",489,A1,0.17,"{""A2"": 0.17, ""B2"": 0.0, ""B1"": 0.0, ""A1"": 0.83, ""C1"": 0.0}",157.8,jev-1.13.0
"Und wenn ich etwas herausnehme, streiche ich es durch.",B1,1.9,"{""C1"": 0.0, ""B2"": 0.01, ""A1"": 0.02, ""B1"": 0.9, ""A2"": 0.07}",155,B1,1.72,"{""C1"": 0.0, ""B1"": 0.76, ""A2"": 0.17, ""B2"": 0.01, ""A1"": 0.06}",494,A2,0.81,"{""B2"": 0.0, ""A2"": 0.65, ""B1"": 0.08, ""A1"": 0.27, ""C1"": 0.0}",157.8,jev-1.13.0
"Ja, entschuldige, ich brauche zwei Bildschirme für diesen neuen Kunden.",A2,0.89,"{""A1"": 0.31, ""C1"": 0.0, ""B1"": 0.18, ""B2"": 0.01, ""A2"": 0.5}",156,A2,0.86,"{""A2"": 0.66, ""B1"": 0.1, ""A1"": 0.24, ""C1"": 0.0, ""B2"": 0.0}",499,A1,0.35,"{""B2"": 0.0, ""A2"": 0.31, ""B1"": 0.02, ""A1"": 0.67, ""C1"": 0.0}",157.8,jev-1.13.0
"Was das Thema Religion angeht, da gibt es bei Kılıçdaroğlu außerdem noch eine Besonderheit.",B1,2.26,"{""B2"": 0.24, ""A1"": 0.0, ""A2"": 0.0, ""B1"": 0.75, ""C1"": 0.01}",157,B1,2.21,"{""C1"": 0.01, ""B1"": 0.78, ""A1"": 0.0, ""A2"": 0.01, ""B2"": 0.2}",505,B1,2.34,"{""A2"": 0.02, ""B2"": 0.34, ""B1"": 0.63, ""A1"": 0.0, ""C1"": 0.01}",157.8,jev-1.13.0
Danach gefiel ihnen das Leben dort nicht mehr.,A2,1.27,"{""C1"": 0.0, ""B1"": 0.25, ""B2"": 0.01, ""A1"": 0.0, ""A2"": 0.74}",158,A2,1.33,"{""C1"": 0.0, ""A2"": 0.68, ""B2"": 0.01, ""A1"": 0.0, ""B1"": 0.31}",490,A2,1.0,"{""A2"": 0.96, ""B2"": 0.0, ""B1"": 0.02, ""A1"": 0.02, ""C1"": 0.0}",157.8,jev-1.13.0
Was passiert am Rand der Scheibe?,A1,0.53,"{""C1"": 0.0, ""A2"": 0.33, ""B1"": 0.1, ""A1"": 0.56, ""B2"": 0.0}",159,A2,0.82,"{""A1"": 0.36, ""A2"": 0.47000000000000003, ""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.16}",487,A1,0.53,"{""A2"": 0.45, ""B2"": 0.0, ""B1"": 0.04, ""A1"": 0.51, ""C1"": 0.0}",157.8,jev-1.13.0
Das sei auch nach außen wichtig.,B2,2.19,"{""B2"": 0.43, ""A1"": 0.01, ""A2"": 0.22, ""C1"": 0.0, ""B1"": 0.34}",160,B2,2.36,"{""C1"": 0.0, ""B2"": 0.5, ""A1"": 0.0, ""B1"": 0.36, ""A2"": 0.14}",486,A2,1.58,"{""A2"": 0.53, ""B2"": 0.21, ""B1"": 0.21, ""A1"": 0.05, ""C1"": 0.0}",157.8,jev-1.13.0
"Da spannt die Stimme einen Bogen, wie ein Dach.",C1,3.06,"{""B1"": 0.36, ""C1"": 0.44, ""A1"": 0.0, ""A2"": 0.01, ""B2"": 0.19}",161,B1,2.96,"{""B2"": 0.09, ""A2"": 0.01, ""B1"": 0.46, ""C1"": 0.44, ""A1"": 0.0}",492,B1,1.94,"{""B1"": 0.46, ""C1"": 0.1, ""A1"": 0.04, ""A2"": 0.29, ""B2"": 0.11}",157.5,jev-1.13.0
Früher hat man Tiere als Opfer für die Götter getötet.,A2,1.45,"{""C1"": 0.0, ""B1"": 0.27, ""A1"": 0.0, ""A2"": 0.64, ""B2"": 0.09}",162,A2,1.53,"{""A2"": 0.57, ""A1"": 0.0, ""B2"": 0.1, ""B1"": 0.33, ""C1"": 0.0}",496,A2,1.01,"{""B1"": 0.01, ""C1"": 0.0, ""A1"": 0.0, ""A2"": 0.99, ""B2"": 0.0}",157.5,jev-1.13.0
"Oder mir wurde gesagt, na ja, versuch es nicht mal mit Deutsch.",B2,2.48,"{""B2"": 0.53, ""A1"": 0.0, ""B1"": 0.39, ""C1"": 0.01, ""A2"": 0.07}",163,B2,2.58,"{""C1"": 0.01, ""B2"": 0.61, ""A2"": 0.05, ""A1"": 0.0, ""B1"": 0.33}",496,A2,1.45,"{""B1"": 0.39, ""C1"": 0.0, ""B2"": 0.03, ""A2"": 0.58, ""A1"": 0.0}",157.5,jev-1.13.0
"Wir fangen an mit einer Alternative für ein Wort, das ihr garantiert ständig benutzt: „schaffen“.",B1,2.02,"{""B2"": 0.05, ""C1"": 0.0, ""A2"": 0.03, ""A1"": 0.0, ""B1"": 0.92}",164,B1,1.91,"{""B1"": 0.82, ""A2"": 0.12, ""C1"": 0.0, ""A1"": 0.01, ""B2"": 0.05}",500,B1,1.75,"{""B1"": 0.49, ""C1"": 0.0, ""B2"": 0.14, ""A2"": 0.35, ""A1"": 0.02}",157.5,jev-1.13.0
Woher kommt diese Welt der abstrakten Vorstellung?,C1,3.02,"{""A2"": 0.01, ""B1"": 0.37, ""A1"": 0.0, ""B2"": 0.21, ""C1"": 0.41}",165,C1,3.01,"{""C1"": 0.38, ""B2"": 0.26, ""A1"": 0.0, ""B1"": 0.35, ""A2"": 0.01}",490,B1,1.75,"{""B1"": 0.69, ""C1"": 0.01, ""A1"": 0.01, ""A2"": 0.27, ""B2"": 0.02}",157.5,jev-1.13.0
"Von bislang 2747 Betrieben auf 22.000 Betriebe, nur in Deutschland.",C1,2.97,"{""C1"": 0.41000000000000003, ""A1"": 0.0, ""B2"": 0.26, ""B1"": 0.22, ""A2"": 0.11}",166,B1,2.49,"{""B1"": 0.29, ""A2"": 0.23, ""A1"": 0.01, ""B2"": 0.2, ""C1"": 0.27}",503,A2,1.54,"{""B1"": 0.33, ""C1"": 0.01, ""B2"": 0.1, ""A2"": 0.54, ""A1"": 0.02}",157.5,jev-1.13.0
Unser soziales Wesen wurde Teil unserer Natur.,B1,2.35,"{""A1"": 0.0, ""B1"": 0.49, ""C1"": 0.1, ""B2"": 0.28, ""A2"": 0.13}",167,B1,2.4,"{""C1"": 0.12, ""B2"": 0.33, ""A2"": 0.17, ""A1"": 0.0, ""B1"": 0.38}",490,B1,1.76,"{""B1"": 0.49, ""C1"": 0.01, ""B2"": 0.12, ""A2"": 0.38, ""A1"": 0.0}",157.5,jev-1.13.0
Sie hat nicht Recht gehabt.,A2,1.09,"{""A1"": 0.01, ""B2"": 0.02, ""C1"": 0.0, ""B1"": 0.06, ""A2"": 0.91}",168,A2,1.05,"{""A2"": 0.92, ""B1"": 0.05, ""B2"": 0.01, ""C1"": 0.0, ""A1"": 0.02}",485,A2,0.91,"{""B1"": 0.0, ""C1"": 0.0, ""A1"": 0.09, ""A2"": 0.91, ""B2"": 0.0}",157.5,jev-1.13.0
Und dann füllt Markus die Schrift aus.,A1,0.54,"{""B2"": 0.0, ""A2"": 0.42, ""C1"": 0.0, ""A1"": 0.52, ""B1"": 0.06}",169,A1,0.52,"{""A1"": 0.56, ""B1"": 0.08, ""C1"": 0.0, ""A2"": 0.36, ""B2"": 0.0}",489,A1,0.18,"{""B1"": 0.01, ""C1"": 0.0, ""B2"": 0.0, ""A2"": 0.16, ""A1"": 0.83}",157.5,jev-1.13.0
Ganz zu schweigen von einem guten.,C1,2.56,"{""C1"": 0.3, ""B2"": 0.2, ""A1"": 0.04, ""B1"": 0.3, ""A2"": 0.16}",170,B1,2.47,"{""B2"": 0.2, ""A2"": 0.15, ""C1"": 0.23, ""A1"": 0.02, ""B1"": 0.39999999999999997}",488,B1,1.92,"{""B1"": 0.35000000000000003, ""C1"": 0.05, ""B2"": 0.24, ""A2"": 0.3, ""A1"": 0.06}",157.5,jev-1.13.0
Anfangs ist der Mensch zu Fuß unterwegs.,A1,0.27,"{""A2"": 0.21, ""A1"": 0.76, ""B2"": 0.0, ""C1"": 0.0, ""B1"": 0.03}",171,A1,0.44,"{""C1"": 0.0, ""A2"": 0.34, ""B1"": 0.05, ""A1"": 0.61, ""B2"": 0.0}",489,A1,0.31,"{""B1"": 0.02, ""C1"": 0.0, ""B2"": 0.0, ""A2"": 0.27, ""A1"": 0.71}",157.5,jev-1.13.0
Dann sähe die Reaktion aus der Politik vermutlich anders aus.,B2,2.85,"{""B1"": 0.13, ""C1"": 0.0, ""A2"": 0.01, ""B2"": 0.86, ""A1"": 0.0}",172,B2,2.85,"{""C1"": 0.0, ""B1"": 0.13, ""A2"": 0.01, ""B2"": 0.86, ""A1"": 0.0}",494,B2,2.65,"{""B1"": 0.17, ""C1"": 0.0, ""B2"": 0.74, ""A2"": 0.09, ""A1"": 0.0}",157.5,jev-1.13.0
Denn mit Gas könnte es in Deutschland eng werden.,B1,2.0,"{""A2"": 0.15, ""A1"": 0.0, ""B1"": 0.7, ""B2"": 0.15, ""C1"": 0.0}",173,B1,1.98,"{""A1"": 0.01, ""C1"": 0.0, ""B1"": 0.71, ""A2"": 0.14, ""B2"": 0.14}",489,A2,1.51,"{""B1"": 0.44, ""C1"": 0.0, ""B2"": 0.04, ""A2"": 0.51, ""A1"": 0.01}",157.5,jev-1.13.0
