n,stratum,pattern,gloss,surface,text,video,start
291,uniform,"all, alle",,all,Aber was sind die Unterschiede zwischen all diesen Wörtern und wie benutzt man sie?,IAWGZlRouds,9.967384615384614
292,uniform,etw. (Akk) gewinnen,etwas gewinnen means to win something.,gewinnt mit 2:1.,Und dort gewinnt die Mannschaft gegen die Niederlande mit 2:1.,EBbiNn3agRA,610.56
293,uniform,die Sekunde,die Sekunde means second (a unit of time).,jede Sekunde,"Vielleicht wurde dein Schicksal also nicht beim Urknall besiegelt, sondern jede Sekunde neu.",C7YSy-Mr-d8,268.576
294,uniform,etw. (Akk) akzeptieren,etwas akzeptieren means to accept something (to tolerate or admit it).,als Allgemeinwissen akzeptiert,"Es schien, als wäre die Zahl einfach als Allgemeinwissen akzeptiert.",4bQ_MwQfGd0,82.72542424242424
295,uniform,der Mensch,der Mensch means person/people.,die Menschen,"Petrus stand auf, als die Menschen sich versammelten.",MOPtwh8qKYE,1140.76
296,uniform,etw. (Akk) können,,Bei ner kleinen Streuung kann,Bei 'ner kleinen Streuung kann die Stichprobe auch klein sein.,M0VpTjZL57U,400.04
297,uniform,"eben, ebend",eben means exactly/as expected/just now.,eben,Mm. Da war es ja eben auch schon köstlich.,sX4iEeFVuL8,1232.295135135135
298,uniform,die Unsicherheit,die Unsicherheit means uncertainty.,Unsicherheit,"Ausdruck 12: eine Auseinandersetzung scheuen Bedeutung: einen Konflikt, Streit oder eine offene Diskussion vermeiden, oft aus Angst oder Unsicherheit.",2alrYKqn_mE,1374.84
299,uniform,der Soldat,der Soldat means soldier.,Deutsche Soldaten,Deutsche Soldaten brennen Dörfer nieder.,zFvgohEKFHs,312.76
300,uniform,etw. (Akk) bei jdm. abgeben,"etwas bei jemandem abgeben means to give something to someone (often implying handing over, surrendering, or transferring possession).",größere Teile abgeben,"Ein Schwerpunkt dieser Umverteilung ist, dass Konzerne künftig größere Teile ihrer Gewinne abgeben müssen, in Form von Steuern.",qGxHMjai01g,962.36
301,panel,etw./jdn. (Akk) haben,,habe,Doch dann war ein Interesse da. Zum Glück habe ich das früh genug bemerkt.,-5ADRpG7Tt8,209.29
302,panel,etw./jdn. (Akk) haben,,hat,"Frank hat mich auch zu Hause besucht, aber dazu später mehr.",keEKlr2dG-I,397.52
303,panel,etw./jdn. (Akk) haben,,haben,Und da haben sie natürlich einen höheren Nutzungsgrad genommen von 260 % und kommen dann auf 12.980 Kilowattstunden pro Jahr.,1nnKydcqmDI,874.92
304,panel,etw. (Akk) können,,kann,Sie kann mir nicht widerstehen.,JjumhnExzY4,505.083
305,panel,etw. (Akk) können,,können,"Bisher wissen wir eigentlich nur: Das heißt, Geimpfte können andere immer noch anstecken, aber: Wir wissen nur nicht, wie viel.",a_NpJU12_LA,1177.56
306,panel,etw. (Akk) können,,können,Da können wir auch keine Landwirtschaft betreiben.,dWWkxJSJ9fY,325.2
307,panel,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,Was gibt zum Essen,Was gibt es zum Essen bei Lisa?,5ByjOu_e6_U,632.333
308,panel,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,Gibt tragische Unfälle,"Gibt es tragische Unfälle, bei denen jemand von seinem Gurt getötet wird?",4E0dwFS72gk,521.32
309,panel,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt kerngesunde Menschen,"Also es gibt kerngesunde Menschen mit hohem BMI, es gibt Menschen mit Typ-2- Diabetes und niedrigem BMI.",4r4Qg5SPbI4,677.0
310,panel,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,mir mir gesagt,"Da hab ich mir gesagt, ich muss mein Verhältnis auch nochmal überdenken und lass es jetzt laufen.",T3F2RD7ZVtw,582.411
311,panel,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,Baalbek uns sagt,"Ein philosophischer Zusatz, ganz kurz: Was Baalbek uns tatsächlich sagt, geht über den Trilithon hinaus.",NTOAGb2X6_o,4563.44
312,panel,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,gesagt,"Vorhin haben Sie gesagt, Sie haben echt 3 Leben parallel geführt.",MHjZ-4z8do8,1177.72
313,panel,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,machen viele Deutsche zu Mittätern,Genau so machen die Nazis viele Deutsche zu Mittätern.,dD4y3B27VMM,743.16
314,panel,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,was machen,"Man weiß gar nicht, was man machen soll, weil etwas richtig Schlimmes passiert ist.",yfm_9UKzPg4,430.1128358208956
315,panel,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,machen Russland,"Donald Trump sagt deshalb: Wenn wir uns Grönland nicht nehmen, dann machen es Russland oder China.",Q0uFqATnGTM,261.68
316,panel,"all, alle",,alle,"Erstens, die reichen Leute gucken alle so vergriest, die sind alle so schlecht gelaunt, ich weiß gar nicht warum, ehrlich gesagt.",T3F2RD7ZVtw,1174.494
317,panel,"all, alle",,alles,"Dann kann der Bundespräsident sagen: Okay, das ist alles total unsicher und so. Es muss Neuwahlen geben und zwar innerhalb von 60 Tagen.",6GiiP5ZXe4s,395.9
318,panel,"all, alle",,all,Doch all das war Hitler und seinen Kumpanen in Berlin nicht genug.,6j7502LJKcU,7571.92
319,panel,etw. (Akk) wollen,,will,"Die RAF will den Staat dazu bringen, dass er seine rechtsstaatlichen Prinzipien über Bord wirft.",iDyR4jfnW20,502.15
320,panel,etw. (Akk) wollen,,wollt,"Wenn ihr mehr über das antike Griechenland erfahren wollt, schaut in dieses Video rein. da gibt's viele Infos.",RrR24OdYEXs,188.72
321,panel,etw. (Akk) wollen,,wollen,"Wie gesagt, ich würde niemandem vorgeben wollen, wie sie oder er zu schreiben hat.",1h_jPCsBGNk,828.48
322,panel,etw./jdn. (Akk) sehen,etwas sehen means to perceive with the eyes or to notice.,es sehen,Du wirst es schon sehen.,6w4tQLIcgog,28.698
323,panel,etw./jdn. (Akk) sehen,etwas sehen means to perceive with the eyes or to notice.,über die ein Video auf meinem Kanal sehen,"Und wenn es Verben gibt, über die ihr gerne ein Video auf meinem Kanal sehen möchtet, schreibt mir gerne einen Kommentar.",WyeyiX97oP0,1085.22
324,panel,etw./jdn. (Akk) sehen,etwas sehen means to perceive with the eyes or to notice.,sehen uns uns in 2 Wochen,Deswegen sehen wir uns in 2 Wochen.,3z0gnXgK8Do,1338.92
325,panel,das Jahr,das Jahr means year.,zwei Jahren,"So wie vor zwei Jahren, bei der namentlichen Abstimmung zur Flüchtlingsunterkunft in Prenzlau.",oZlJeK-AacE,2201.8
326,panel,das Jahr,das Jahr means year.,Jahr 2014,Im Jahr 2014 wurden sowohl Truus als auch Freddie für ihren Einsatz im Zweiten Weltkrieg vom niederländischen Ministerpräsidenten mit dem Mobilisierungskreuz ausgezeichnet.,ccfsN6nuAOs,717.69
327,panel,das Jahr,das Jahr means year.,Jahr 2000,"Das Personal ist von weit mehr als 300.000 aktiven Soldaten im Jahr 2000, inklusive Grundwehrdienstleistenden, auf inzwischen rund 180.000 Soldaten geschrumpft.",4h3w-IPhKaY,182.6
328,panel,etw. (Akk) wissen,etwas wissen means to know something.,ihr aus unserem Video wisst,"Wie ihr bereits aus unserem Video über Eulen und Lärchen, also Spät- und Frühaufsteher wisst, stellt Licht unsere innere Uhr.",R6T_NCczXLY,390.72
329,panel,etw. (Akk) wissen,etwas wissen means to know something.,wissen,Wir wollen mal wissen: Wie gut wissen die Wiesn-Besucherinnen Und Wiesn-Besucher Bescheid über die Geschichte dieses Festes hier.,xR44_JqDPFw,26.72
330,panel,etw. (Akk) wissen,etwas wissen means to know something.,weiß wie,Ich weiß aber nicht wie.,CZnQFR9BL18,160.379
331,panel,der Mensch,der Mensch means person/people.,Menschen,"Menschen, die vor 35 mit dem Rauchen aufhören, sterben nicht früher als Nichtraucher.",_bWjmkmxS3M,575.2106666666665
332,panel,der Mensch,der Mensch means person/people.,Tausend Menschen,Währenddessen sterben weiter viele Tausend Menschen.,A5K_hGOVs6M,517.36
333,panel,der Mensch,der Mensch means person/people.,der Menschen,"Und zwar nicht durch eine Reformation der Institutionen, sondern eine Reformation des Denkens und Fühlens der Menschen.",nXmJwPj6c9s,647.528
334,panel,etw./jdn. (Akk) finden,etwas finden means to find something.,Den Link findet in der Infobox,Den Link findet ihr unten in der Infobox.,FxV20b8bnT0,728.0136363636364
335,panel,etw./jdn. (Akk) finden,etwas finden means to find something.,was finden,"Dann machen wir auf und gucken in die Wohnung, ob wir was finden, was uns oder dem Gläubiger weiterhilft.",DibNfVSpuGg,302.48
336,panel,etw./jdn. (Akk) finden,etwas finden means to find something.,die Awards finde,"Deswegen möchte ich heute nicht auf ethischer Ebene rumheulen, warum ich die Awards geschmacklos finde, sondern das Ganze rein wissenschaftlich angehen.",zTLflri1TRM,137.12
337,panel,das Video,das Video means video.,Das Video,Das Video gibt es nicht mehr.,AZpPKf59aBI,286.638
338,panel,das Video,das Video means video.,Videos,"Im Netz tauchen Videos auf, in denen Männer sozusagen von der Straße weg gegen ihren Willen eingesammelt werden.",BZVRgZ5Dg68,617.6
339,panel,das Video,das Video means video.,Das nächste Video,Das nächste Video wird das beste bis jetzt.,k7FWuyJtWcs,526.38
340,panel,etw. (Akk) tun,etwas tun means to do something.,das tut,"Ob er das wirklich tut, ist umstritten.",_hcvUfc2Lww,251.4
341,panel,etw. (Akk) tun,etwas tun means to do something.,Das tun zum einen,"Das tun wir zum einen, indem wir diese Menschen tracken über eine App oder über einen GPS-Logger.",G3SEEdNapfU,143.82
342,panel,etw. (Akk) tun,etwas tun means to do something.,viel tun,"Von nichts kommt nichts.” Also: Man muss sich anstrengen und viel dafür tun, um so gut Klavier zu spielen.",gVKJIDL3-FI,285.8901694915253
343,panel,jdm. (Dat) stehen,jemandem stehen means to suit someone (in terms of appearance or style).,steht,"Da steht, dass ich noch 22,06€ habe.",VjTd2EsgkHM,183.60522105263158
344,panel,jdm. (Dat) stehen,jemandem stehen means to suit someone (in terms of appearance or style).,steht ihr zur Beschneidung,Und wie steht ihr zur Beschneidung bei Jungen?,CzsTk_JRj80,1025.84
345,panel,jdm. (Dat) stehen,jemandem stehen means to suit someone (in terms of appearance or style).,steht,"Es sollte keinen Unterschied machen, ob ein Argument auf einem neutralen Blatt Papier geschrieben steht oder ob eine Person dieses Argument vorträgt.",4K2Pm82lBi8,1263.76
346,panel,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,über alles sprechen,"Das heißt, wir können wirklich über alles sprechen, was uns interessiert, deswegen ist das wirklich nicht so schwierig.",xnqTeFypXjk,1123.1
347,panel,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,In dieser Folge sprechen,"In dieser Folge sprechen wir darüber, wie ihr auf Deutsch über euch selbst sprechen könnt.",i_TIn1ZYJH4,24.612
348,panel,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,sprechen,Darüber sprechen wir jetzt. (Lockere Musik) (Abfallende Töne) Das hier ist Hunter Biden. 53 Jahre alt und Sohn des amtierenden US-Präsidenten Joe Biden.,2o3yqD1gJgo,66.4
349,panel,das Beispiel,das Beispiel means example.,Beispiel,"Etwa, indem es schlechte Erinnerungen einfach löscht oder Charakterzüge verändert, zum Beispiel Neid, Sucht oder Faulheit.",hHvIrQKy90w,652.7
350,panel,das Beispiel,das Beispiel means example.,Beispiel,"Als Beispiel: Ich weiß, dass Lena gerne mit Tim spielt, weil er ihr bester Freund ist.",2dvXpCSK4-Y,271.76083333333327
351,panel,das Beispiel,das Beispiel means example.,Beispiel,"Obwohl Preußen zum Beispiel im August 1759 bei Kunersdorf gegen die Österreicher und Russen eine schwere Niederlage einsteckt, scheidet es nicht aus dem Krieg aus.",9-c1z6ra8Lk,333.56
352,panel,"selbst, selber",selbst means oneself / by oneself.,selbst,Eigentlich können das nur die Forscher und Wissenschaftler selbst.,BFmsurpE-Ho,322.6911627906977
353,panel,"selbst, selber",selbst means oneself / by oneself.,selbst,"Ich hab nicht gefragt, frag sie doch selbst.",GTpa2G5TPII,5828.427
354,panel,"selbst, selber",selbst means oneself / by oneself.,selbst,"Die Unis sind selbst überfordert, kriegen's organisatorisch nicht hin.",blktjPp2E6A,381.4
355,panel,die Zeit,die Zeit means the indefinite duration in which events occur.,viel Zeit,Zehn Minuten ist nicht viel Zeit.,YjKKy361zZ0,635.32
356,panel,die Zeit,die Zeit means the indefinite duration in which events occur.,mehr Zeit,"Und mit ""überreagieren"" meine ich, wir müssen der Sache einfach noch mehr Zeit geben.",98S3JDk_7Ww,1777.734
357,panel,die Zeit,die Zeit means the indefinite duration in which events occur.,Zeit,Es wird langsam Zeit loszufahren.,fYgLgD-LrL4,129.062
358,panel,das Land,das Land means country.,Land,Denn nach zahlreichen Lebensmittelskandalen wächst der Unmut im Land.,nL_78p6kljg,1472.76
359,panel,das Land,das Land means country.,Land,Die Hoffnung auf eine Veränderung im Land ist groß.,ujGSxTlRnOc,148.28
360,panel,das Land,das Land means country.,ein eigenes Land,"Der Süden Sudans wollte auch schon vor der Unabhängigkeit komplett eigenständig werden, ein eigenes Land.",l7eGIVjeo0k,209.16
361,panel,etw. (Akk) bekommen,etwas bekommen means to receive or obtain something.,bekam von dieser Bank ein Schreiben,Die Mandantin bekam von exakt dieser Bank ein Schreiben.,2YnZu0ql_14,1613.8
362,panel,etw. (Akk) bekommen,etwas bekommen means to receive or obtain something.,ein Kind bekommen,"Und was wäre, wenn wir zusammen ein Kind bekommen hätten?",GTpa2G5TPII,5997.168
363,panel,etw. (Akk) bekommen,etwas bekommen means to receive or obtain something.,reinen Stoff bekommen,"Und vor allen Dingen möchte man dafür sorgen, dass die Menschen reinen Stoff bekommen und nichts Verunreinigtes.",sNKHvL_86oc,535.04
364,panel,etw./jdn. (Akk) brauchen,etwas brauchen means to need something.,brauche eine gute Note,Ich brauche unbedingt eine gute Note.,ei16eEqGZgU,1181.34
365,panel,etw./jdn. (Akk) brauchen,etwas brauchen means to need something.,braucht,"Sie sind einfach entschlossen, die Sache öffentlich zu machen, aber deswegen braucht man sich nicht besoffen zu reden.",Vb9df_r0pZo,4662.612376623379
366,panel,etw./jdn. (Akk) brauchen,etwas brauchen means to need something.,brauchte eine andere Herausforderung,"Und ich brauchte eine andere Herausforderung, weil ich dachte, die Alpen ist was anderes als Jakobsweg.",TqQwdRQRT-4,3763.56
367,panel,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,bedeutet,"Zum Beispiel das Verb ""zurechtschneiden"": Das bedeutet, dass man etwas so schneidet, dass es die richtige Form oder Größe hat.",2FWp-_sYKsg,75.3
368,panel,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,was für die Gesundheit bedeutet,"Stellt euch mal vor, was das für die Gesundheit der Menschen bedeutet.",JmD6DlJOdXo,308.91
369,panel,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,bedeutet,"Das bedeutet, dass Oswald, als er nach Russland ging, kein echter Überläufer war.",KLDG8XvcQWw,3875.3538461538456
370,panel,"gern, gerne",gern means willingly or with pleasure.,gerne,"Wer im Schichtdienst arbeitet, gerade ein kleines Baby hat oder gerne mal eine Nacht durchfeiert, der weiß, Schlafmangel ist grausam.",gUl49d6cPC4,47.88
371,panel,"gern, gerne",gern means willingly or with pleasure.,gerne,Ich würde gerne noch ein paar Tests mit Ihnen machen.,h-2PTbyiDrE,324.4569402985075
372,panel,"gern, gerne",gern means willingly or with pleasure.,gerne,Was machen Sie gerne in Ihrer Freizeit?,BbdfTYdUtz0,718.8109999999999
373,panel,"nichts, nix",,nichts,Von dem Treffen habe ich ihr aber nichts erzählt.,U_ZBViSvQ64,357.8480341880343
374,panel,"nichts, nix",,nichts,"Das wird nichts, ne? Aber den Minusruf, den korrigieren wir doch jetzt einfach mal ein bisschen.",k1-aP3hZEHs,692.1092537313431
375,panel,"nichts, nix",,nichts,Ich bin nicht kam mir fehlt nichts.,NnPdMjXpEJ8,1156.347586206897
376,panel,jdm. (Dat) passieren,jemandem passieren means to happen to someone.,bei anderen Viren passieren,Das kann auch bei anderen Viren passieren.,Mt50U4_ueR0,557.68
377,panel,jdm. (Dat) passieren,jemandem passieren means to happen to someone.,passiert,"Das Geständnis ist erneuter Hohn und eine Demütigung für die Angehörigen des Opfers, die nicht fassen können, was passiert ist.",4d1tLrzeBFI,278.72
378,panel,jdm. (Dat) passieren,jemandem passieren means to happen to someone.,mit Rosas passiert,"Egal, was mit Rosas passiert, es ist Zeit für dich, dein Traum zu leben.",mn2R4tVd1is,2109.0862500000007
379,panel,der Tag,der Tag means the period of daylight or a 24-hour day.,einem Tag,"Für sie war und ist es normal, an einem Tag in einen christlichen Gottesdienst zu gehen, an einem anderen in einen Hindutempel.",IUqGpj7dLfg,127.56
380,panel,der Tag,der Tag means the period of daylight or a 24-hour day.,der besten Tage,Fünf der besten Tage meines Lebens.,87LipQT8T-Q,6252.676666666667
381,panel,der Tag,der Tag means the period of daylight or a 24-hour day.,den ganzen Tag,Oder vielleicht war ich einsam den ganzen Tag.,z59vqeAEW9E,4371.4466250000005
382,panel,die Frage,die Frage means question.,Die Frage,"Die Frage, die ich oft bekomme, ist: ""Kannst du nicht auch was zu denen machen?"" Nun, ein Video zu 44 Parteien, das ist nicht einfach.",Abjh2bOlXoc,21.0
383,panel,die Frage,die Frage means question.,Ihrer anderen Frage,Zu Ihrer anderen Frage. 79a.,ca4CuIj_U9w,3106.5
384,panel,die Frage,die Frage means question.,die Frage,"Und dann ist halt die Frage, wie hoch ist die Dosis an gefährlichen Substanzen?",JTLau8e-CUo,1168.8672000000001
385,panel,der Mann,der Mann means the man (specific individual).,ein Mann,"Aber der beliebteste Grünen-Politiker zumindest wenn man nach Umfragen geht, ist ein Mann.",mjak9u_sdRY,311.08
386,panel,der Mann,der Mann means the man (specific individual).,diese Männer,"Jetzt ist es aber nicht so, dass diese Männer alle Streitigkeiten friedlich beilegen.",LGIMpZnfP-E,308.4
387,panel,der Mann,der Mann means the man (specific individual).,Der Mann,Der Mann verdient mehr Geld in einer Woche als du in einem Jahr.,7LWOWwN4PPQ,232.998
388,panel,jdm. (Dat) / etw. (Akk) glauben,jemandem glauben means to have faith in someone's ability or judgment.,glaube,"Mit Abby ist alles okay, glaube ich.",J6U4AjhCLrI,3549.0857142857144
389,panel,jdm. (Dat) / etw. (Akk) glauben,jemandem glauben means to have faith in someone's ability or judgment.,Glaubt,"Glaubt Ihr wirklich, es besteht die geringste Chance, dass das nicht gesehen wird?",L_-r441bJjQ,857.24
390,panel,jdm. (Dat) / etw. (Akk) glauben,jemandem glauben means to have faith in someone's ability or judgment.,glaube,"Ich glaube, die fliegen nach Dubai.",WuZYixhusIA,332.041
391,panel,die Frau,die Frau means wife.,Frau Schuhmacher,Ich grüßer Sie Herr und Frau Schuhmacher.,sNfEfLtfrb8,333.214
392,panel,die Frau,die Frau means wife.,Frau,Wo haben Herr und Frau Schulze sich kennengelernt? a) im Internet a) im Internet. c) auf einer Party.,CjLt7Ap40l4,721.085
393,panel,die Frau,die Frau means wife.,Die Frau,"Die Frau, bei der ich jetzt einen Termin habe, hat ihren Abschluss in einem Abendstudium nachgeholt.",OdHj-8ngOT0,1152.84
394,panel,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,gelassen,"Die AfD selbst sieht die Pläne, zumindest öffentlich, gelassen.",OPFwv5sy51E,644.6
395,panel,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,die Tür lassen,Du kannst mich duzen und die Tür offen lassen.,GNKFW4S1pKg,388.64
396,panel,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,lassen ihre Waren,Denn unzählige Firmen lassen ihre Waren von den günstigen Arbeitskräften in China produzieren.,X2vtshF6xF0,359.92
397,panel,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,schreibe euch zwei in die Videobeschreibung,"Ich schreibe euch zwei, die ich ganz gut finde, unten in die Videobeschreibung.",skR937O5sBY,786.13
398,panel,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,An einen IS-Kanal schreibt,"An einen IS-Kanal schreibt er: (Unheilvolle Musik) In der Folgezeit entsteht der Plan, einen Anschlag in Deutschland zu verüben.",iYtJLOBEXa0,768.12
399,panel,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,die Antwort schreiben,Bitte jetzt die Antwort schreiben.,ZvkAPF1XXFQ,262.96
400,panel,nach etw. aussehen,nach etwas aussehen means to look like something / to seem something.,sieht aus aus,"Es sieht ja wirklich so aus, als hätte früher hier jemand gewohnt.",TqQwdRQRT-4,3563.0
401,panel,nach etw. aussehen,nach etwas aussehen means to look like something / to seem something.,aussehen,Legen wir los! 2060 wird Südkoreas Bevölkerungspyramide so aussehen: Mit einem Bevölkerungsrückgang von 30 % verschwinden in 35 Jahren 16 Millionen Südkoreaner.,l9UGB_V6A8g,143.06673684210526
402,panel,nach etw. aussehen,nach etwas aussehen means to look like something / to seem something.,im Netz aussehen,Wie könnte eurer Meinung nach ein effektiver Schutz von Kindern vor Missbrauch im Netz aussehen?,S_lw4b_9Gyc,700.16
403,panel,die Leute,die Leute means people.,Leute,"Dafür braucht ihr keine guten Noten, Leute.",Ej98tfrZzmI,179.416
404,panel,die Leute,die Leute means people.,Die Leute,"Die Leute sagen, die Party ist krass?",hqe0dqtCmA0,384.099
405,panel,die Leute,die Leute means people.,paar Leute,"Skeptisch wurden ein paar Leute erst, als klar war, dass die Botschaft nicht nur extrem groß, sondern vielleicht auch extrem tief sein wird.",m8e-ZaZSWqY,258.76
406,panel,die Partei,die Partei means political party.,die Partei,"Und weil die Partei an dem Willen der EU, sich in diese Richtung zu entwickeln, zweifelt, zieht sie noch radikalere Änderungen in Betracht.",Y_zS8jOYid4,285.44
407,panel,die Partei,die Partei means political party.,die Partei,"Generell ist die Partei des Fortschritts offen für neue Formen der Beteiligung, auch auf europäischer Ebene.",Y_zS8jOYid4,437.52
408,panel,die Partei,die Partei means political party.,eine Partei,"Aus einem Verein, der sich 2017 aus Mitgliedern von CDU und CSU gegründet hatte, wurde offiziell eine Partei.",ipjl0efaZ7Y,90.76
409,panel,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,euch zeigen,"Ich möchte euch zeigen, wie wir diesen Begriff verwenden und mit welchen Verben er häufig kombiniert wird.",ciByzc7eFrw,328.56
410,panel,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,zeigt,"Das zeigt aber, und jetzt kommt meine persönliche Meinung, es gibt immer noch einen zweiten Weg.",f-YHZOjNHYM,1311.72
411,panel,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,sich sich nach zeigen,Das wahre Potenzial der digitalen Unsterblichkeit wird sich erst nach und nach zeigen.,hHvIrQKy90w,674.433
412,panel,das Leben,das Leben means life.,seinem Leben,Die gehören zu den prägendsten Zeiten in seinem Leben.,3clVZ0b2x8M,198.72
413,panel,das Leben,das Leben means life.,Leben,"Das ist eine unglaubliche Materialschlacht, eine Schlacht, bei der jeden Tag 100, vielleicht auch 200 Soldatinnen und Soldaten ums Leben kommen.",ogbtRzgfOWA,143.12
414,panel,das Leben,das Leben means life.,meinem akademischen Leben,Ich war zufrieden mit meinem akademischen Leben und mit Sydneys angenehmer mittelmäßiger Art von Zärtlichkeit.,SHYj2f3WZjI,2768.611
415,panel,das Kind,das Kind means child (a young human being).,Kindern,"Mehr Geld soll's für Familien mit Kindern geben und alle, die sich Wohnung oder Haus zulegen wollen.",Ao1Rof8kkAs,324.48
416,panel,das Kind,das Kind means child (a young human being).,Kindern,"Dort ist er für den Bereich Kindeswohlgefährdung, Hilfe zur Erziehung, Beteiligung beim Familiengericht und in der Eingliederungshilfe von Kindern mit psychischen Erkrankungen tätig.",-PRxlCN1Owk,389.4
417,panel,das Kind,das Kind means child (a young human being).,keine Kinder,"Im Schnitt wird etwa die Hälfte der Frauen hier keine Kinder haben, und die andere Hälfte nur eines.",l9UGB_V6A8g,42.59030985915494
418,panel,etw./jdn. (Akk) nehmen,etwas nehmen means to take (someone or something) along or into possession.,das alles zur Kenntnis genommen,Wir haben das alles zur Kenntnis genommen.,zjLkTb2jQnw,4800.506304347826
419,panel,etw./jdn. (Akk) nehmen,etwas nehmen means to take (someone or something) along or into possession.,nehmen Platz,"Nun, nehmen Sie Platz, meine Herren.",98S3JDk_7Ww,2064.562
420,panel,etw./jdn. (Akk) nehmen,etwas nehmen means to take (someone or something) along or into possession.,nehmen 11 Sportler als Geiseln,Schwer bewaffnet nehmen sie dort 11 Sportler als Geiseln.,dB5jKQYveec,114.0
421,panel,jdm. (Dat) etw. (Akk) bringen,jemanden zum Reden bringen means to make someone talk or get someone to speak.,bringt sein drittes Automodell auf den Markt,Tesla bringt sein drittes Automodell auf den Markt und setzt Maßstäbe.,D0y4dwQmHmc,684.8
422,panel,jdm. (Dat) etw. (Akk) bringen,jemanden zum Reden bringen means to make someone talk or get someone to speak.,die Lufthansa-Maschine Landshut in ihre Gewalt gebracht,Die hatten die Lufthansa-Maschine „Landshut“ in ihre Gewalt gebracht.,dB5jKQYveec,444.0
423,panel,jdm. (Dat) etw. (Akk) bringen,jemanden zum Reden bringen means to make someone talk or get someone to speak.,bringen sie zum Pinguin,Wir bringen sie um und bringen sie dann zum Pinguin.,2VZAqHGOjIc,92.083
424,panel,das Problem,das Problem means an objection or grievance.,Meine Probleme,Aber viele Menschen nehmen das so nicht wahr und sagen: Meine Probleme werden nicht angegangen.,ThgDIFU0hSA,492.04
425,panel,das Problem,das Problem means an objection or grievance.,viele Probleme,"Das Leben hat schon so viele Probleme gelöst, warum also nicht auch unsere Anfälligkeit für den Tod?",ukj00RbvZaQ,461.65
426,panel,das Problem,das Problem means an objection or grievance.,Probleme,"Probleme müssen klar benannt werden, Schwierigkeiten müssen angegangen werden, und man sollte bei den Fakten bleiben.",HrpXgqFcN0k,1291.8
427,panel,der Fall,auf jeden Fall means definitely/absolutely.,der Fall,"Und wie das bis 2011 auch der Fall gewesen ist, würde so ein Jahr natürlich auch bezahlt werden.",4h3w-IPhKaY,659.72
428,panel,der Fall,auf jeden Fall means definitely/absolutely.,keinen Fall,Wir möchten dich auf keinen Fall enttäsuchen.,ZBfSszghlUc,468.096511627907
429,panel,der Fall,auf jeden Fall means definitely/absolutely.,dem Fall,Sie haben sicher von dem Fall des verschwundenen Mädchens gehört.,BRHw2oSykjw,4954.208
430,panel,der Herr,der Herr means Mr.,Herr Springer,"Herr Springer, ich grüße Sie.",oZlJeK-AacE,1729.2
431,panel,der Herr,der Herr means Mr.,Herr Professor,"Herr Professor Hackmann, sind Sie der neue Präsident der Universität in Hamburg?",Vb9df_r0pZo,2841.389
432,panel,der Herr,der Herr means Mr.,Herr Kunze,"Ja, Herr Kunze, wir sind bereit.",NbL39FX-mGs,904.959
433,panel,das Thema,das Thema means topic.,einem anderen Thema,Ein Video zu einem völlig anderen Thema.,U6GW6gzIywo,664.64
434,panel,das Thema,das Thema means topic.,ein ganz Thema,"Das ist ja an sich auch ein ganz, ganz wichtiges Thema.",Dmhm8dTn2nY,1074.96
435,panel,das Thema,das Thema means topic.,das Thema Artikel,"So, und jetzt geht's los. ￼ Manu hat geschrieben, dass er sich für das Thema ""bestimmte Artikel vor Namen"" interessiert.",skR937O5sBY,20.93671232876713
