step,candidates,well_formed,chosen_score,best_score,chosen,best
2024,9,5,1.0,1.0,"Hier gibt es keinen Frühling, Sommer, Herbst und Winter.","Hier gibt es keinen Frühling, Sommer, Herbst und Winter."
2025,11,7,1.0,1.0,Damit ist das Gleichgewicht zwischen Berufsleben und Privatleben gemeint.,Damit ist das Gleichgewicht zwischen Berufsleben und Privatleben gemeint.
2026,11,6,1.0,1.0,"Für jemand, der unter diesem Druck steht, ist er erstaunlich gelassen.","Also, für ein normales ""Bauprojekt"" gab es da erstaunlich viel Beef."
2027,11,5,1.0,1.0,"Oh man, das Schloss ist wirklich schwer zu öffnen.",Er darf jetzt sein Schloss mitnehmen und zu Fuß weitergehen.
2028,11,2,0.94,0.94,Sanfte Gitarrenmusik Im Stadthafen von Ueckermünde fließt die Uecker durch die Altstadt.,Sanfte Gitarrenmusik Im Stadthafen von Ueckermünde fließt die Uecker durch die Altstadt.
2029,12,7,1.0,1.0,Zuerst kommt die Begrüßung und dann können Sie ihre Witze reißen.,"Um das Ziel nicht zu reißen, wurden bereits verschiedene Maßnahmen beschlossen."
2030,12,7,1.0,1.0,"Seine süße, wunderbare Frau kann i nicht mehr ertragen.","Seine süße, wunderbare Frau kann i nicht mehr ertragen."
2031,13,5,1.0,1.0,Doch es kommt anders: Ein Freund des Sohnes gesteht die Tat.,"Ich muss aber gestehen, dass ich manchmal sehr unordentlich sein kann."
2032,12,8,1.0,1.0,"Fronten, Taktik und Logistik sind bei diesen Distanzen bedeutungslos.",Das sind Schläger und Mörder und deine Rot Front.
2033,12,5,1.0,1.0,Du sollst diesen Text in die die indirekte Rede umformen.,Du sollst diesen Text in die die indirekte Rede umformen.
2034,12,4,0.92,0.92,Nur bei Mars durch die Institution bisschen verlaufen.,Die Braut ist eine Institution an dieser Schule.
2035,14,10,1.0,1.0,"Sein Fan wollte, dass er auf einen Felsen klettert.","Meine Hobbies sind Theater spielen, malen, zeichnen, klettern oder anderen Sport."
2036,13,5,1.0,1.0,"Ist nicht zu steil, was ich immer gut finde.","Ist nicht zu steil, was ich immer gut finde."
2037,13,6,1.0,1.0,"Wenn es tatsächlich Anlass dafür gibt, müsste man überlegen.","Bitte lass dein Handy an, damit ich dich erreichen kann."
2038,13,7,1.0,1.0,Sie haben sich hier im Club ja lange nicht sehen lassen.,Der Rotari Club bittet Sie einen Vortrag zu halten.
2039,13,6,1.0,1.0,"Ja, wenn Sie sich mit einem farten blinken einlassen, Herr Kommissar.","Ja, wenn Sie sich mit einem farten blinken einlassen, Herr Kommissar."
2040,13,6,1.0,1.0,"Seine Aussprache ist anfangs schlecht, aber das stört mich nicht.","Ich hatte anfangs keine Ahnung, wie talentiert du bist."
2041,12,7,1.0,1.0,Vor vier Monaten habe ich mein Praktikum bei BMW begonnen.,Vor vier Monaten habe ich mein Praktikum bei BMW begonnen.
2042,13,8,1.0,1.0,"Bitte, die Sendung über diese Poolparty läuft doch dauernd im Fernsehen.","Bitte, die Sendung über diese Poolparty läuft doch dauernd im Fernsehen."
2043,10,4,1.0,1.0,Deutsche Panzerdivisionen durchbrechen die polnischen Linien an allen Fronten.,Deutsche Panzerdivisionen durchbrechen die polnischen Linien an allen Fronten.
2044,13,7,1.0,1.0,Weil ich ein Talent erkenne und wieso alten Tage.,"Weißupt meint, ihr Selbstbewusstsein sei größer als ihr Talent."
2045,9,5,1.0,1.0,"Ich bin hier, um den morgigen Ablauf zu besprechen.",Haben rechte Gesinnungen die Abläufe in der Nacht beeinflusst?
2046,9,6,1.0,1.0,Ganz kurz noch zu “mal” als Konjunktion in der Mathematik.,Ganz kurz noch zu “mal” als Konjunktion in der Mathematik.
2047,13,6,1.0,1.0,Letztes Mal bei Like Germans Ich muss Ihnen noch etwas mitteilen.,Letztes Mal bei Like Germans Ich muss Ihnen noch etwas mitteilen.
2048,11,9,1.0,1.0,"Wir betreuen nicht nur eine Marke, sondern reparieren jeden Pkw.","Wir betreuen nicht nur eine Marke, sondern reparieren jeden Pkw."
2049,12,7,1.0,1.0,Die Radikalisierung meines Mandanten würde ich vornehmlich auf das Internet stützen.,Die Radikalisierung meines Mandanten würde ich vornehmlich auf das Internet stützen.
2050,12,4,0.94,0.94,Den Anschluss isoliere ich jetzt noch um hier keinen Energieverlust zu haben.,Den Anschluss isoliere ich jetzt noch um hier keinen Energieverlust zu haben.
2051,13,9,1.0,1.0,Sehe aus bräuchte die Autorität des Ministeriums im Rücken.,Das ist ja dann in Deutschland im Ministerium für Entwicklungszusammenarbeit beheimatet.
2052,9,4,0.94,0.94,Der Europäische Rat hat offiziell den Kandidatenstatus den fünf ersten Ländern gewährt.,Der Europäische Rat hat offiziell den Kandidatenstatus den fünf ersten Ländern gewährt.
2053,13,4,1.0,1.0,"Gehen wir nochmal durch, was ihr euch merken solltet.","Ich Verzeih, ich wollte Meine Gefühle würden nicht mit mir durchgehen."
2054,10,3,1.0,1.0,"Jesus lehrte seine Jünger, dass jeder, der bittet, empfängt.","Jesus lehrte seine Jünger, dass jeder, der bittet, empfängt."
2055,14,6,1.0,1.0,"Wenn ich loslasse, wirst du nie wieder zu mir zurückkommen, oder?",Dann auch noch Kessen aber bitte lassen Sie mich doch los.
2056,10,2,1.0,1.0,"Das heißt, welche Gesellschafter es gibt, welche Geschäftsführer es gibt.","Das heißt, welche Gesellschafter es gibt, welche Geschäftsführer es gibt."
2057,13,9,1.0,1.0,Man darf das Geld nicht einfach aus der Kasse entnehmen.,David entnimmt unseren H%ntern Fett und spritzt damit unsere Lippen auf.
2058,12,8,1.0,1.0,"Ich finde echt, dass ich eine bessere Option bin.","Ich finde echt, dass ich eine bessere Option bin."
2059,10,5,1.0,1.0,Vielleicht können wir ein bisschen deinen juristischen Sachverstand abzapfen.,Vielleicht können wir ein bisschen deinen juristischen Sachverstand abzapfen.
2060,9,3,1.0,1.0,Eigentlich ist die Brücke gerade mal zwei Meter hoch.,Eigentlich ist die Brücke gerade mal zwei Meter hoch.
2061,12,5,1.0,1.0,Wir kommen aus dem Wald und Rennen zum Boot.,"Und da sie aus dem Rennen ist, wird sie nicht gewinnen."
2062,10,4,1.0,1.0,Sie ist bestimmt genauso attraktiv und nett wie auf ihrem Profil.,Sie ist bestimmt genauso attraktiv und nett wie auf ihrem Profil.
2063,13,4,1.0,1.0,"Schlange Hey, Yara, bitte gib mir nur zwei Minuten.","Schlange Hey, Yara, bitte gib mir nur zwei Minuten."
2064,11,4,1.0,1.0,Sie waren mit der modernsten Technik ihrer Zeit ausgestattet.,Sie waren mit der modernsten Technik ihrer Zeit ausgestattet.
2065,10,3,0.94,0.94,Wie Sand in der Brandung werden Hinweise auf die Vergangenheit vom durcheinandergewirbelt.,Wie Sand in der Brandung werden Hinweise auf die Vergangenheit vom durcheinandergewirbelt.
2066,12,7,1.0,1.0,"Und die rechte Gruppe versucht, das Ei links abzulegen.","Und die rechte Gruppe versucht, das Ei links abzulegen."
2067,13,7,0.92,0.92,"Madame Präsidentin, bitte regen Sie sich nicht auf.","Madame Präsidentin, bitte regen Sie sich nicht auf."
2068,11,5,1.0,1.0,"Zum Beispiel auch, sich verbotenerweise nicht mehr irgendwem zu nähern.","Der Kapitän und Alfred greifen sie an, als sie sich nähern."
2069,11,7,1.0,1.0,Zudem spielt die Novellierung das Tierwohl mit sich gegeneinander aus.,Zudem spielt die Novellierung das Tierwohl mit sich gegeneinander aus.
2070,11,7,1.0,1.0,"Mexiko stoppt die Öllieferungen, und auch andere Länder halten sich zurück.","Du sagtest neulich, es wäre besser, wenn ich mich zurückhalten würde."
2071,12,7,1.0,1.0,Damit würde sein Gehalt häufig unter dem deutschen Mindestlohn liegen.,Damit würde sein Gehalt häufig unter dem deutschen Mindestlohn liegen.
2072,8,6,1.0,1.0,"Er merkt es deutlich, wenn die Wirkung gegen Abend nachlässt.","Er merkt es deutlich, wenn die Wirkung gegen Abend nachlässt."
2073,10,6,1.0,1.0,Andererseits hätten wir uns nicht deshalb zu diesem Urlaub entschlossen.,Andererseits hätten wir uns nicht deshalb zu diesem Urlaub entschlossen.
2074,10,7,1.0,1.0,"Und wir versuchen dann, die jeweiligen Bezugspunkte zur Literatur auszuloten.",Ich bin Dozent für französische Literatur hier in der Uni.
2075,11,8,1.0,1.0,"Zur KI, auch da haben wir gemeinsame Themen, gemeinsame Ansätze.","Zur KI, auch da haben wir gemeinsame Themen, gemeinsame Ansätze."
2076,12,6,1.0,1.0,Du kannst nicht gleichzeitig auf Gas und Grenze treten.,Du kannst nicht gleichzeitig auf Gas und Grenze treten.
2077,12,5,0.94,0.94,"Und meine Großmutter beschloss, mich zu verändern, ja, sie hat mich getauft.","Und meine Großmutter beschloss, mich zu verändern, ja, sie hat mich getauft."
2078,9,6,1.0,1.0,Norwegen wehrt sich aber mit der Unterstützung von Briten und Franzosen.,"Die Briten und die Franzosen erhoben Protest, unternahmen aber nichts."
2079,10,4,1.0,1.0,"Es ist sehr ungewöhnlich, so einen teuren Gegenstand zu verschenken.","Das, was Sie da sehen, ist der Schatten eines allgemeinen Gegenstandes."
2080,11,5,1.0,1.0,"Danke, Ricarda Breiten aus unserer Politikredaktion auch für die rechtliche Einordnung.","Danke, Ricarda Breiten aus unserer Politikredaktion auch für die rechtliche Einordnung."
2081,9,6,1.0,1.0,"Sicherlich kein Mehrwert für die Umwelt, sondern wir schaffen Bürokratie.",Die Umwelt- Leistungsgrenzwerte können die Genehmigungsfähigkeit von Anlagen gefährden.
2082,13,7,1.0,1.0,"Mann, ich wollte dir das doch zum Abschied noch zeigen.","Es ist jetzt an der Zeit, Abschied zu nehmen."
2083,12,9,1.0,1.0,Unterstützen tut der Motor aber ausschließlich bis 25 km/h.,Seitdem wird Shan gejagt und es ist ausschließlich meine Schuld.
2084,13,10,1.0,1.0,Sind Sie mit den Forschung der sprachanalytischen Philosophie vertraut?,Sind Sie mit den Forschung der sprachanalytischen Philosophie vertraut?
2085,14,5,1.0,1.0,In der geschriebenen Sprache ist es hingegen oft genau umgekehrt.,In der geschriebenen Sprache ist es hingegen oft genau umgekehrt.
2086,11,5,1.0,1.0,Ich bin hauptsächlich samstags unterwegs für die Tafel und helfe mit.,"Ich habe hauptsächlich Sachbücher gelesen, weil ich etwas Neues lernen wollte."
2087,9,2,1.0,1.0,Und bei wem ich mich dafür bedanken muss: meiner Mutter.,Und bei wem ich mich dafür bedanken muss: meiner Mutter.
2088,7,2,1.0,1.0,Und danach werden die Co-Präsidenten des Vorstands den Vorsitz übernehmen.,Und danach werden die Co-Präsidenten des Vorstands den Vorsitz übernehmen.
2089,8,5,1.0,1.0,"Lass dein Publikum wachsen, du wirst dort reden, du wirst kochen.","Lass dein Publikum wachsen, du wirst dort reden, du wirst kochen."
2090,9,5,1.0,1.0,"Ich kürze das jetzt hier mal ab, technische Analyse.","Ich kürze das jetzt hier mal ab, technische Analyse."
2091,9,4,1.0,1.0,"Ah, das ist toll, ich habe die Bestellung bei Bill abgeholt.","Aber ich glaube, der Kellner kommt gleich, um unsere Bestellung aufzunehmen."
2092,14,8,1.0,1.0,Den weißabgleich stellst du unten links bei dem bunten Symbol ein.,Den weißabgleich stellst du unten links bei dem bunten Symbol ein.
2093,10,7,1.0,1.0,"Unsere Fahrpläne werden so gestaltet, dass wir pünktlich sind.","Gut, dann werde ich meinen Fernsehauftritt mal etwas kämpferischer gestalten."
2094,8,2,1.0,1.0,"Dazu ist grundsätzlich jedes Unternehmen verpflichtet, dass ein Handelsgewerbe betreibt.","Dazu ist grundsätzlich jedes Unternehmen verpflichtet, dass ein Handelsgewerbe betreibt."
2095,12,6,1.0,1.0,"Ihr hört sicher oft den Begriff ""das christliche Abendland"".","Ihr hört sicher oft den Begriff ""das christliche Abendland""."
2096,11,5,1.0,1.0,Doch ein komplexes Lebewesen nachzubauen stellt die Wissenschaftler vor enorme Herausforderungen.,Doch ein komplexes Lebewesen nachzubauen stellt die Wissenschaftler vor enorme Herausforderungen.
2097,12,6,1.0,1.0,Die Anzahl der Asylbewerber steigt Jahr für Jahr in Frankreich.,Die Anzahl der Asylbewerber steigt Jahr für Jahr in Frankreich.
2098,13,6,1.0,1.0,Stevens Mandantin ist wegen versuchter Anstiftung zum Mord und Mordes angeklagt.,Stevens Mandantin ist wegen versuchter Anstiftung zum Mord und Mordes angeklagt.
2099,10,6,1.0,1.0,Du hast dich keinen einzigen Zentimeter auf mich zu beewegen.,Du hast dich keinen einzigen Zentimeter auf mich zu beewegen.
2100,12,4,1.0,1.0,"Genau diese Komplexität, die findet sich zukünftig in den Genehmigungsverfahren wieder.","Genau diese Komplexität, die findet sich zukünftig in den Genehmigungsverfahren wieder."
2101,13,8,1.0,1.0,Trotz der hitzigen Diskussion hat Max die Nerven behalten.,Trotz der hitzigen Diskussion hat Max die Nerven behalten.
2102,12,3,1.0,1.0,Am Abend entspanne ich mich oder schreibe in mein Buch.,Am Abend entspanne ich mich oder schreibe in mein Buch.
2103,9,6,1.0,1.0,Herr Merz und Herr Wadephul haben das Regime verurteilt.,Herr Merz und Herr Wadephul haben das Regime verurteilt.
2104,12,6,1.0,1.0,"Okay, her mit der nächsten, total dummen, äh komplett vernünftigen Frage.","Okay, her mit der nächsten, total dummen, äh komplett vernünftigen Frage."
2105,11,5,1.0,1.0,"Wir müssen alle verstehen, dass wir alle zum Dienst berufen sind.","Wir müssen alle verstehen, dass wir alle zum Dienst berufen sind."
2106,11,5,1.0,1.0,Ich kann euch versichern: Alex ist noch auf dem Markt.,"Ich habe versichert, dass das alles nicht so heiß gegessen wird."
2107,8,3,1.0,1.0,Eine abrupte Abreise könnte die Mannschaft beunruhigen oder gar Panik auslösen.,Dafür fliegt die Mannschaft jetzt gerade einmal über den Atlantischen Ozean.
2108,13,6,1.0,1.0,"Plötzlich sehen wir 2 Tiere, die von einem Hügel herabrennen.",Ich finde einen schönen Platz neben einem großen Hügel.
2109,13,7,1.0,1.0,"Wenn Sie das für Samuel tun, bin ich Ihnen unendlich dankbar!","Wenn Sie das für Samuel tun, bin ich Ihnen unendlich dankbar!"
2110,9,6,1.0,1.0,Und hatte sich daraufhin auch an eine Extremismuspräventionsstelle gewandt.,Und hatte sich daraufhin auch an eine Extremismuspräventionsstelle gewandt.
2111,8,2,1.0,1.0,US-Präsident Roosevelt klingt bei der Rede vor dem Kongress eher wütend.,US-Präsident Roosevelt klingt bei der Rede vor dem Kongress eher wütend.
2112,12,6,1.0,1.0,"Konnte, ja, musste die japanische Führung das nicht schon vorher wissen?","Ich glaube, sie hat eher an eine Führung gedacht."
2113,12,5,1.0,1.0,"Mattis ist nicht nur schwer erreichbar, sondern auch hyperaktiv.","Es kann doch nicht sein, dass ein Notruf nicht erreichbar ist."
2114,10,3,0.94,0.94,"Ja, das ist die zweite Stufe dieser Diskussion, die dann immer stattfindet.","Ja, das ist die zweite Stufe dieser Diskussion, die dann immer stattfindet."
2115,14,5,1.0,1.0,"Okay, also einschlafen ist eigentlich ganz einfach, mein Schatz.","Als die Wachen einschlafen, nähern wir uns den 3 Gefangenen."
2116,10,4,1.0,1.0,Ich danke den Ministern für diese vollständigen ausführlichen Antworten.,Ich danke den Ministern für diese vollständigen ausführlichen Antworten.
2117,10,5,1.0,1.0,Zum Mangel der Lebensmittelversorgung kommt die vollkommene Unterbrechung des militärischen Nachschubs.,Die beanstandeten hygienischen Mängel würden nicht zu einer Verurteilung reichen.
2118,12,7,1.0,1.0,Dessen Hass gründet sich auf die amerikanische Außenpolitik im arabischen Raum.,Dessen Hass gründet sich auf die amerikanische Außenpolitik im arabischen Raum.
2119,10,6,1.0,1.0,Im Koalitionsvertrag ist auch mehr Wettbewerb in der Entwicklungszusammenarbeit vereinbart.,Bald könnte ein unaufhaltsamer Wettbewerb um das Universum losgehen.
2120,12,3,1.0,1.0,"Ich werde dafür sorgen, dass sie das Verbot einhalten.","Ich werde dafür sorgen, dass sie das Verbot einhalten."
2121,11,4,1.0,1.0,"Theoretisch war es möglich, vom Sklaven zum Millionär zu werden.","Theoretisch war es möglich, vom Sklaven zum Millionär zu werden."
2122,10,3,0.84,0.84,Seine Biografie ist eine Kreation des Geheimdienstes.,Oswald hatte vom Geheimdienst den Befehl abzudrücken.
2123,8,2,0.92,0.92,"Ich bin da, hier ist mein neuer Arbeitgeber.","Ich bin da, hier ist mein neuer Arbeitgeber."
2124,13,7,1.0,1.0,"Solange wir keine Leiche haben, gilt sie als vermisst.","Solange wir keine Leiche haben, gilt sie als vermisst."
2125,10,6,1.0,1.0,Und das ist im Grunde genommen auch was Platon ausbilden will.,Und das ist im Grunde genommen auch was Platon ausbilden will.
2126,12,8,1.0,1.0,Im Prinzip hat Stresemann die Kuh doch längst vom Eis geholt.,Im Prinzip hat Stresemann die Kuh doch längst vom Eis geholt.
2127,14,7,1.0,1.0,Nach 14 Jahren ist mein treuer Freund und Begleiter Shiloh gestorben.,Nach 14 Jahren ist mein treuer Freund und Begleiter Shiloh gestorben.
2128,12,7,1.0,1.0,"Es war mir ein Vergnügen, über diesen wichtigen Denker zu sprechen.","Es war mir ein Vergnügen, über diesen wichtigen Denker zu sprechen."
2129,10,3,1.0,1.0,Und die ist noch mal eine ganze Ecke düsterer.,"Düstere, brummende Musik Stimmen spielender Kinder Wagen fährt rückwärts."
2130,11,5,1.0,1.0,"Mannheim, Mai 2024: Ein mutmaßlicher IS-Sympathisant ersticht einen Polizisten.","Mannheim, Mai 2024: Ein mutmaßlicher IS-Sympathisant ersticht einen Polizisten."
2131,13,9,1.0,1.0,"Tut mir leid, da habe ich was durcheinander gebracht.",Aber es ist alles ein einziges drunter und drüber und durcheinander.
2132,13,5,1.0,1.0,"Weißt du, ehrlich gesagt ist er ein ziemlich intelligenter Junge.","Weißt du, ehrlich gesagt ist er ein ziemlich intelligenter Junge."
2133,11,9,1.0,1.0,So mache ich aus einem unangenehmen Moment wieder ein sachliches Gespräch.,Das Verb “vorfinden” klingt oft sehr sachlich und etwas formell.
2134,13,4,1.0,1.0,Nach dem Vormittag beginnt für mich die arbeitsintensivste Zeit des Tages.,Bis später und vielen Dank für diesen fruchtbaren Austausch heute Vormittag.
2135,12,7,1.0,1.0,"Ich weiß nicht, was mit dem Fahrer los war.","Der Fahrer war leider schon verstorben, hatte keine Lebenszeichen mehr."
2136,11,5,1.0,1.0,Durchschnittlich verdient ein Arbeitnehmer in Deutschland 30.000 Euro im Jahr.,"Arbeitnehmer sind Menschen, die von einem Arbeitgeber beschäftigt werden."
2137,13,6,1.0,1.0,Vorneweg fährt der Einsatzleitwagen mit dem Chef oder der Chefin.,Vorneweg fährt der Einsatzleitwagen mit dem Chef oder der Chefin.
2138,10,7,1.0,1.0,Aus dieser Perspektive ist das 3D-Objekt über und unter der Fläche.,Aus dieser Perspektive ist das 3D-Objekt über und unter der Fläche.
2139,12,7,1.0,1.0,"Es ist verdammt so, als würde man mit einem Parkplatz reden.","Es ist verdammt so, als würde man mit einem Parkplatz reden."
2140,8,3,1.0,1.0,Und es werden immer mehr Treibhausgase in die Atmosphäre geblasen.,Und es werden immer mehr Treibhausgase in die Atmosphäre geblasen.
2141,10,6,1.0,1.0,"Ich denk auch, dass sie gestopften immer bevorzugt werden.","Einige Unternehmen bevorzugen sogar Bewerber, die etwas anderes gemacht haben."
2142,13,4,1.0,1.0,"Deshalb schämt er sich nicht, sie seine Brüder zu nennen.","Deshalb schämt er sich nicht, sie seine Brüder zu nennen."
2143,11,5,1.0,1.0,Nachher bringen wir die Sachen für Mama und Lei zur Post.,Nachher bringen wir die Sachen für Mama und Lei zur Post.
2144,10,8,1.0,1.0,"Wir müssen Partnerschaften in anderen Regionen wie Indien, Südamerika, Südafrika schließen.","Im Energiebereich, insbesondere bei erneuerbare Energien entstehen neue Partnerschaften überall."
2145,11,6,0.88,0.88,"Aber ein Ergebnis davon war, dass das Kubaunternehmen an meiner Abteilung weitergeleitet wurde.","Forestors, der Leiter der Abteilung, war um 5 Uhr wieder in seinem Büro."
2146,11,7,1.0,1.0,"Wer diese Treppe hinuntergeht, betritt einen Bereich, den kein Standardführer erwähnt.","Und die Treppe endet nicht dort, wo der Reiseführer aufhört."
2147,9,6,1.0,1.0,Längst stehen Ackerflächen unter ständiger Beobachtung aus der Luft.,Längst stehen Ackerflächen unter ständiger Beobachtung aus der Luft.
2148,13,8,1.0,1.0,"Wie Rasierkling Tabletten mit allem, was da drin ist?","Die Tabletten haben so scheußlich geschmeckt, ich habe mich sofort übergeben."
2149,11,4,1.0,1.0,Verkauf uns deine Tochter Hanna und alle Probleme sind vergessen.,Verkauf uns deine Tochter Hanna und alle Probleme sind vergessen.
2150,10,5,1.0,1.0,Diese fünf Versicherungen bilden die Säulen unseres Sozialversicherungssystems in Deutschland.,Diese fünf Versicherungen bilden die Säulen unseres Sozialversicherungssystems in Deutschland.
2151,11,6,1.0,1.0,Nach dem Umzug wird er mich zum Essen einladen.,Nach dem Umzug wird er mich zum Essen einladen.
2152,9,8,1.0,1.0,Mit der Bilanz können wir die Anschaffungskosten der Anlage nicht einsehen.,Der Gabelstapler wird mit 5.000€ in der Bilanz angesetzt.
2153,13,3,1.0,1.0,Ich habe danach auch über 4 Jahre als Koch gearbeitet.,Ich habe danach auch über 4 Jahre als Koch gearbeitet.
2154,11,3,1.0,1.0,"Vielleicht können wir Mark dazu überreden, dass er einen Baum pflanzt.","Ja, aber eins musst du noch für mich tun, Mark."
2155,12,6,1.0,1.0,"Ja, der Generalbundesanwalt hat die Ermittlungen an sich gezogen.","Ja, der Generalbundesanwalt hat die Ermittlungen an sich gezogen."
2156,9,5,1.0,1.0,"Wie dem auch sein, ich werde in Kürze entlassen.","Wie dem auch sein, ich werde in Kürze entlassen."
2157,10,5,0.94,0.94,Gezielt verübt die Gruppe nun Mordanschläge gegen Persönlichkeiten aus Staat und Wirtschaft.,Gezielt verübt die Gruppe nun Mordanschläge gegen Persönlichkeiten aus Staat und Wirtschaft.
2158,10,5,1.0,1.0,Unsere Soldaten versehen ihren Dienst und kämpfen in Afghanistan.,Unsere Soldaten versehen ihren Dienst und kämpfen in Afghanistan.
2159,12,5,1.0,1.0,"Sollen wir durch den Park spazieren, um zum Café zu kommen?","Sollen wir durch den Park spazieren, um zum Café zu kommen?"
2160,9,5,1.0,1.0,Und die wollen ja ein Grundeinkommen ohne jede Anstrengung.,"Es war eine Herausforderung, es war eine große Anstrengung."
2161,10,4,1.0,1.0,Und drittens kannst du die Symbole zum Teil selbst konfigurieren.,Die shortcutfunktion ist übrigens unter anderen Symbolen ebenfalls versteckt.
2162,8,4,1.0,1.0,"Im Bogf, ihr müsst den Befehlen ohne Widerspruch folgen.","Im Bogf, ihr müsst den Befehlen ohne Widerspruch folgen."
2163,12,6,1.0,1.0,Und drittens: Es muss eine effektive Umsetzung der Richtlinie gewährleistet werden.,Und die Dritte setzt an bei der kohärenten Umsetzung der Richtlinien.
2164,11,8,1.0,1.0,Und schließlich musst Du auch für den Versand Deiner Bestellungen aufkommen.,In den 90ern kam es auf mit diesem Ritalin.
2165,11,5,1.0,1.0,"Ist eine geeignete Vene gefunden, erfolgt die Desinfektion der Punktionsstelle.","Ist eine geeignete Vene gefunden, erfolgt die Desinfektion der Punktionsstelle."
2166,11,4,0.94,0.94,Ein Mann kann lächeln und immer lächeln und doch ein Schurke sein.,Ein Mann kann lächeln und immer lächeln und doch ein Schurke sein.
2167,12,3,0.92,0.92,Mir ist einzig und allein der Geschmack wichtig.,Mir ist einzig und allein der Geschmack wichtig.
2168,12,4,1.0,1.0,Gemeinsam haben sie in diesem schmalen Bett kaum Platz.,"Hier drunter ist der Geschwindigkeitssensor, der ist recht schmal."
2169,11,5,1.0,1.0,"Es war stets eine Ehre, mit Ihnen zu arbeiten!","Er kehrte stets wieder zu uns zurück, zu seiner geliebten Familie."
2170,13,1,0.84,0.84,Lediglich den Kühlschrank nimmt er heute mit.,Als Hilfsmittel ist lediglich ein Taschenrechner erlaubt.
2171,9,5,1.0,1.0,Es muss wirklich ganz klar erkennbar sein was der Ausweichpflichtige vorhat.,"Das Ausweichmanöver muss aber rechtzeitig, klar erkennbar und durchgreifend durchgeführt werden."
2172,9,4,1.0,1.0,"Nein, ein Foto von hinten ist heutzutage üblich .",In Europa scheint 50:50 also durchaus üblich zu sein.
2173,11,8,1.0,1.0,"Wenn du solche Muster oft hörst, werden sie vertraut.","Das Muster ist einfach, aber du kannst es oft benutzen."
2174,11,4,1.0,1.0,"Sie möchte, dass ich den Raum reinige, bevor sie reinkommt.","Sie möchte, dass ich den Raum reinige, bevor sie reinkommt."
2175,12,7,1.0,1.0,"Nun, der Schnee bedeckt sie, und die Straßen werden gesperrt.","Nun, der Schnee bedeckt sie, und die Straßen werden gesperrt."
2176,10,5,1.0,1.0,"Meine Welt, meine Meinung an diesen Dienstag mit Sebastian Vorbach.","Wir sagen: der Montag, der Dienstag und so weiter."
2177,10,6,1.0,1.0,Die Gonja sind eingedrungen in das Erdverteidigungssystem von einer halben Stunde.,Die Gonja sind eingedrungen in das Erdverteidigungssystem von einer halben Stunde.
2178,12,10,1.0,1.0,"Nicht nur im Gerichtssaal, auch in und mithilfe der Medien.",Mithilfe der Kohle wird Stahl in großen Mengen erzeugt.
2179,10,6,1.0,1.0,"Deshalb missioniert Karl auch die Leute, die noch keine Christen sind.","Deshalb missioniert Karl auch die Leute, die noch keine Christen sind."
2180,10,4,1.0,1.0,Willst du das etwa ernsthaft mit Messer und Gabel essen?,Hier werden neben Klamotten auch Messer und Schlagringe verkauft.
2181,11,2,1.0,1.0,Muss ich bei der Übersetzung der Zeugnisse irgendwas beachten?,Muss ich bei der Übersetzung der Zeugnisse irgendwas beachten?
2182,12,9,1.0,1.0,"Rund 11.000 Anhänger sitzen dort in Haft, darunter auch Deutsche.",Der Anhänger ist halt wirklich fast zu klein für diesen Bagger.
2183,9,5,1.0,1.0,"Die Behandlung, um den Druck im Brustraum zu verringern, heißt Thoraxdrainage.","Die Behandlung, um den Druck im Brustraum zu verringern, heißt Thoraxdrainage."
2184,12,6,1.0,1.0,"Wir unterstützen diesen Vorschlag, diese Vorlage für einen Beschluss.","Wir unterstützen diesen Vorschlag, diese Vorlage für einen Beschluss."
2185,9,4,1.0,1.0,Stellen Sie sich eine mittelständische GmbH mit drei Gesellschaften vor.,Jeder Gesellschafter einer GmbH besitzt Vermögensrechte wie zB Gewinnansprüche.
2186,12,6,1.0,1.0,Doch der Einsatz im Feldlager bringt ihn endgültig an seine Grenzen.,Das ist ein ganz typisches Beispiel für das Wort “endgültig”.
2187,11,9,1.0,1.0,Sie sind nichts weiter als ein anmaßender und korrupter Offizier.,Sie sind nichts weiter als ein anmaßender und korrupter Offizier.
2188,12,7,1.0,1.0,"Und so religiös weiß der Rabbi überhaupt, dass ihr Atheisten seid.","Das ist ganz anders, wenn es ein religiöses Urteil gewesen wäre."
2189,10,8,1.0,1.0,So eine Steuererklärung ist schon ein Wust an Regelungen.,So eine Steuererklärung ist schon ein Wust an Regelungen.
2190,10,3,1.0,1.0,Was besseres als dieser Skandal hätte dir nicht passieren können.,Was besseres als dieser Skandal hätte dir nicht passieren können.
2191,12,5,1.0,1.0,"Nein, ein weiteres Dutzend um Mitternacht zu backen ist völlig angemessen.","Nein, ein weiteres Dutzend um Mitternacht zu backen ist völlig angemessen."
2192,12,5,1.0,1.0,"Kein Kampf ist gewonnen, solange das Gelände nicht eingenommen ist.",Diese Trasse wurde im Gelände zwischen Steinbruch und Anlage nie gefunden.
2193,12,3,1.0,1.0,Das wäre dann also ein Teller Tahina mit Flaffel und Salat.,Das wäre dann also ein Teller Tahina mit Flaffel und Salat.
2194,10,4,1.0,1.0,"Und ich hoffe, mein Impulsvortrag hat ein bisschen aufgeklärt davor.","Er will nicht ruhen, bevor nicht alles restlos aufgeklärt ist."
