n,stratum,pattern,gloss,surface,text,video,start,verdict,what,note,judge,rule
244,uniform,etw. (Akk) tun,etwas tun means to do something.,tut mir,"Oh Gott, es tut mir leid, Schatz.",uD8pyhyeGMk,342.625,construction,es tut mir leid,,claude-opus-5,
245,uniform,das Geschäft,das Geschäft means shop.,dem Geschäft,"Dann sind sie dieselbe Route zurückgefahren, ehe sie den Krankenwagen an dem Geschäft stehen ließen.",2L8DYY1gmXs,4764.1,frame,,,claude-opus-5,
246,uniform,der Bundestag,der Bundestag means the German federal parliament.,Bundestag,"Und im Bundestag wird an etwas geschraubt, das nach Zukunft klingt.",OdHj-8ngOT0,1800.8,frame,,,claude-opus-5,
247,uniform,"gern, gerne",gern means willingly or with pleasure.,gerne,"Ihr könnt gerne in mein Buch schauen, das heißt ""Verrückte Geschichte"".",FoTcT_yU9FM,934.56,frame,,,claude-opus-5,
248,uniform,etw./jdn. (Akk) haben,,hat,"Die hat in einer Pressekonferenz 2020 gesagt, dass sie nicht glaubt, dass es so bleibt, wie's jetzt ist.",yeaNw2HiSwk,860.84,other,auxiliary (perfect),,claude-opus-5,aux
249,uniform,etw. (Akk) verwenden,etwas verwenden means to use something.,verwendet,"Ich denke, das liegt unter anderem daran, dass der Begriff ""Depressionen"" im Alltag häufig missverständlich verwendet wird.",mKlga_U3pmI,105.44,frame,,passive,claude-opus-5,
250,uniform,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,sprechen,"Sie können sich gut ausdrücken, fließend sprechen und man hört ihnen einfach sehr gerne zu. Diese Personen sind eloquent.",kC4ISShpZhE,262.24303797468355,other,sprechen (intransitive),,claude-opus-5,
251,uniform,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,schreibt in die Kommentare,"Also, wenn ihr Themenvorschläge für nächste Videos habt, schreibt sie gerne in die Kommentare.",-NMs56pQ9EE,898.44,frame,,recipient elided,claude-opus-5,
252,uniform,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,bedeutet,"Aber es bedeutet, etwas Kompliziertes zunächst mit einer nützlichen Vereinfachung zu erklären.",_aWSE2TqRn0,38.663,other,bedeuten (signify),,claude-opus-5,
253,uniform,etw. (Akk) einschlagen,etwas einschlagen means to crash or strike down.,die Signale schlagen zum Gehirn ein,"Jedenfalls, die Signale von diesen Nozizeptoren, egal von wo sie kommen, schlagen alle dieselbe Route zum Gehirn ein.",CgGITxbcA1o,259.32,construction,einen Weg einschlagen,,claude-opus-5,
254,uniform,der Herr,der Herr means Mr.,Herr Kunze,"Sie sind dran, Herr Kunze!",BtEaCm4OU5s,354.955,frame,,title,claude-opus-5,
255,uniform,der Hafen,der Hafen means harbor/haven.,den Hafen,"Die Nevada, die beim ersten Angriff beschädigt wurde, konnte sich in den Hafen manövrieren, wird aber erneut mehrfach von den japanischen Bombern getroffen.",6j7502LJKcU,3783.5211428571424,frame,,,claude-opus-5,
256,uniform,das Bild,das Bild means image.,fehlende Bilder,Also fehlende Bilder die unabsichtlich mit aufgezeichnet wurden z.B fällt dir im Nachhinein auf dass du eine zeitlubensequenz aus 25 Frames Material erstellen möchtest.,hG74y-GbtRA,972.4757575757575,frame,,,claude-opus-5,
257,uniform,etw./jdn. (Akk) haben,,hat,Sie hat dort eine Ausbildung zur Flugbegleiterin gemacht.,LQw0ss4ixsY,212.517,other,auxiliary (perfect),,claude-opus-5,aux
258,uniform,etw./jdn. (Akk) haben,,habt diese ganze Sache,"Ihr habt es bestimmt mitbekommen, diese ganze Sache hier.",De5FGogMWzQ,33.16,other,auxiliary (perfect),,claude-opus-5,
259,uniform,das Gefühl,das Gefühl means feeling or intuition.,dieses Gefühl,"Ich möchte dieses Gefühl nicht nur für die nächsten Monate oder Jahre haben, sondern für den Rest meines Lebens.",vgH0qWtM920,546.373273381295,frame,,,claude-opus-5,
260,uniform,der Staat,der Staat means the government or the state as a political entity.,die einzelnen Staaten,"Denn die einzelnen Staaten entscheiden, wie gesagt, selbst, was sie tun und was sie lassen wollen.",AnlPAnneitY,158.2,frame,,,claude-opus-5,
261,uniform,etw. (Akk) meinen,etwas meinen means to mean something.,meine,"Genau das meine ich, Willie.",_l5a2PJG60s,723.097,frame,,,claude-opus-5,
262,uniform,die Mama,die Mama means mother/mom.,Deine Mama,"Deine Mama ist hier, Lisa.",uD8pyhyeGMk,696.333,frame,,,claude-opus-5,
263,uniform,die Frucht,die Frucht means fruit.,Früchte,"Nur Früchte und Zucker, also kein Problem.",EKhS5JC8BEk,1030.896,frame,,,claude-opus-5,
264,uniform,etw. (Akk) verarbeiten,etwas verarbeiten means to process (an emotional experience).,verarbeitet,Fleisch hat noch einen großen Vorteil: Einige der Nährstoffe im Fleisch können schneller verarbeitet und genutzt werden als die in Pflanzen.,q6YkYx7-Y_k,112.08,frame,,passive,claude-opus-5,
265,uniform,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,spreche mit meinen Freunden,"Ich spreche oft mit meinen Freunden über Afrika und ich sage Ihnen, dass wir dort viel Geld verdienen können.",Dtf3SQY04B8,1491.22,frame,,,claude-opus-5,
266,uniform,etw./jdn. (Akk) haben,,hat,Dieses Mal hat man kaum etwas darüber gehört.,X4BzEfN_3MI,400.2,other,auxiliary (perfect),,claude-opus-5,aux
267,uniform,jdm. (Dat) etw. (Akk) / etw. (Akk) abziehen,jemandem etwas abziehen means to subtract or deduct something.,ziehen die Nub ab ab,"Aber muss schnell sein, ja? Ja, wir ziehen die Nub schnell ab. Genauso das wollte ich hören, Controller Queen.",4eHUfuF5MRk,108.888,frame,,,claude-opus-5,
268,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,was macht,"Da ist sehr viel schief gelaufen und man hat den Eindruck bekommen, da weiß der eine nicht, was der andere macht.",ZSMvWosDDmw,530.24,frame,,,claude-opus-5,
269,uniform,die Frage,die Frage means question.,Eine zentrale Frage,Eine zentrale Frage würde sein: Wer gilt denn eigentlich als bayrischer Staatsbürger?,POU5TGGiNVQ,409.44,frame,,,claude-opus-5,
270,uniform,die Million,die Million means million.,Millionen Menschen,Mindestens acht Millionen Menschen sterben.,Kt6QoiZ4mQs,937.08,frame,,,claude-opus-5,
271,uniform,das Thema,das Thema means topic.,großes Thema,"Herr Huizinga, die Abnehmspritze, großes Thema in den letzten Wochen und Monaten, auch von den Medien extrem hochgespielt.",RoaPmJTjLuA,1018.48,frame,,,claude-opus-5,
272,uniform,jdm. (Dat) etw. (Akk) reichen,etwas reicht nicht means something is insufficient or not enough.,reicht,"Ja, eine kurze E-Mail reicht aber.",UPcn0kz0lr0,932.765,other,reichen (suffice),,claude-opus-5,
273,uniform,etw. (Akk) wollen,,will,Das will ich einmal vorweg sagen.,ca4CuIj_U9w,5875.951818181818,other,modal,,claude-opus-5,modal
274,uniform,die Leute,die Leute means people.,Leuten,"Ich gehe in Museen und in französische Filme und werde mit Leuten reden, die viel Ahnung von allem haben.",oo-MyTJjVZ4,516.72,frame,,,claude-opus-5,
275,uniform,die Bewertung,die Bewertung means review or evaluation.,Kritische Bewertungen,Kritische Bewertungen finden wir so gut wie gar keine.,Dmhm8dTn2nY,141.52,frame,,,claude-opus-5,
276,uniform,etw. (Akk) können,,könnte,Auch dieses Mal könnte die Regierung auf die Opposition zugehen und nach Unterstützung fragen.,Mt0wAFkRzlI,903.24,other,modal,,claude-opus-5,modal
277,uniform,die Geschichte,die Geschichte means story.,eine andere Geschichte,"Während sich absurde Ideen in der Wissenschaft nur schwer durchsetzen, ist es in den Medien eine ganz andere Geschichte.",Nn2rJrKwENI,602.32,frame,,,claude-opus-5,
278,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,das in Japan gibt,"Probier vielleicht etwas, das es in Japan nicht gibt. -Alle. -Alle?",9rkoFS7K6SY,313.66,construction,es gibt,,claude-opus-5,es_gibt
279,uniform,etw. (Akk) können,,können,Dann können wir es prüfen.,1_Sne_JjXLU,1631.546,other,modal,,claude-opus-5,modal
280,uniform,von etw. ausgehen,von etwas ausgehen means to go out (for entertainment).,ausgehen,Man kann nicht ausgehen und knallen.,98S3JDk_7Ww,1081.33,other,ausgehen (go out),,claude-opus-5,
281,uniform,jdn./etw. (Akk) kontrollieren,jemanden kontrollieren means to control someone or something.,kontrolliert,"Wenn es einen Totalausfall gibt, wird das Trinkwasser nicht mehr automatisch kontrolliert.",DAe5BuOQCSM,441.84,frame,,passive,claude-opus-5,
282,uniform,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,für sich lassen,Die alle anderen für sich haben arbeiten lassen.,x0WbGMS3cHE,125.433,other,etw. tun lassen (causative),,claude-opus-5,
283,uniform,auf jdn./etw. (Akk) zutreffen,auf jemanden zutreffen means to apply to someone.,zutreffen,"Aber egal welche Gründe jetzt zutreffen oder nicht, klar ist, Drogen sind in den meisten Ländern auf der Welt zu einem großen Teil verboten.",u7YEFl63xXc,355.56,frame,,"no ""auf"", same sense",claude-opus-5,
284,uniform,etw./jdn. (Akk) finden,etwas finden means to find something.,Außer finden eine Niere,Außer wir finden eine Niere für Sie.,PQueNUkAZJ4,530.458,frame,,,claude-opus-5,
285,uniform,die Datei,die Datei means a digital file.,die Dateien,"Solltest du die Dateien also irgendwann mal aus Versehen löschen oder verschieben, dann findet CapCut sie nicht mehr wieder.",Qd7JsVjaKSI,95.4895238095238,frame,,,claude-opus-5,
286,uniform,die Straße,die Straße means street.,die Straße,Oder indem sie bei Fridays for Future auf die Straße gehen.,4K2Pm82lBi8,1438.92,construction,auf die Straße gehen,,claude-opus-5,
287,uniform,der Freund,der Freund means friend.,mein Freund,"Inshallah, mein Freund, so Gott will.",Nsc9siYOMNE,1680.2,frame,,,claude-opus-5,
288,uniform,etw. (Akk) können,,können,Denn damals können die Menschen noch nicht Architektur studieren.,iy9Dpimk2PI,78.32,other,modal,,claude-opus-5,modal
289,uniform,der Euro,der Euro means the euro (the currency).,137.000 Euro,Durch den Digitalpakt würden laut Bundesbildungsministerium jede Schule eine Finanzspritze von ca. 137.000 Euro bekommen.,BQpbIjXESwE,166.0,frame,,,claude-opus-5,
290,uniform,das Krankenhaus,das Krankenhaus means hospital.,das Krankenhaus,Wir müssen sofort das Krankenhaus evakuieren.,Z2zXDdFzofQ,296.0,frame,,,claude-opus-5,
291,uniform,"all, alle",,all,Aber was sind die Unterschiede zwischen all diesen Wörtern und wie benutzt man sie?,IAWGZlRouds,9.967384615384614,frame,,,claude-opus-5,
292,uniform,etw. (Akk) gewinnen,etwas gewinnen means to win something.,gewinnt mit 2:1.,Und dort gewinnt die Mannschaft gegen die Niederlande mit 2:1.,EBbiNn3agRA,610.56,frame,,object elided,claude-opus-5,
293,uniform,die Sekunde,die Sekunde means second (a unit of time).,jede Sekunde,"Vielleicht wurde dein Schicksal also nicht beim Urknall besiegelt, sondern jede Sekunde neu.",C7YSy-Mr-d8,268.576,frame,,,claude-opus-5,
294,uniform,etw. (Akk) akzeptieren,etwas akzeptieren means to accept something (to tolerate or admit it).,als Allgemeinwissen akzeptiert,"Es schien, als wäre die Zahl einfach als Allgemeinwissen akzeptiert.",4bQ_MwQfGd0,82.72542424242424,frame,,passive,claude-opus-5,
295,uniform,der Mensch,der Mensch means person/people.,die Menschen,"Petrus stand auf, als die Menschen sich versammelten.",MOPtwh8qKYE,1140.76,frame,,,claude-opus-5,
296,uniform,etw. (Akk) können,,Bei ner kleinen Streuung kann,Bei 'ner kleinen Streuung kann die Stichprobe auch klein sein.,M0VpTjZL57U,400.04,other,modal,,claude-opus-5,modal
297,uniform,"eben, ebend",eben means exactly/as expected/just now.,eben,Mm. Da war es ja eben auch schon köstlich.,sX4iEeFVuL8,1232.295135135135,frame,,,claude-opus-5,
298,uniform,die Unsicherheit,die Unsicherheit means uncertainty.,Unsicherheit,"Ausdruck 12: eine Auseinandersetzung scheuen Bedeutung: einen Konflikt, Streit oder eine offene Diskussion vermeiden, oft aus Angst oder Unsicherheit.",2alrYKqn_mE,1374.84,frame,,,claude-opus-5,
299,uniform,der Soldat,der Soldat means soldier.,Deutsche Soldaten,Deutsche Soldaten brennen Dörfer nieder.,zFvgohEKFHs,312.76,frame,,,claude-opus-5,
300,uniform,etw. (Akk) bei jdm. abgeben,"etwas bei jemandem abgeben means to give something to someone (often implying handing over, surrendering, or transferring possession).",größere Teile abgeben,"Ein Schwerpunkt dieser Umverteilung ist, dass Konzerne künftig größere Teile ihrer Gewinne abgeben müssen, in Form von Steuern.",qGxHMjai01g,962.36,frame,,"no ""bei jdm."", same sense",claude-opus-5,
301,panel,etw./jdn. (Akk) haben,,habe,Doch dann war ein Interesse da. Zum Glück habe ich das früh genug bemerkt.,-5ADRpG7Tt8,209.29,other,auxiliary (perfect),,claude-opus-5,aux
302,panel,etw./jdn. (Akk) haben,,hat,"Frank hat mich auch zu Hause besucht, aber dazu später mehr.",keEKlr2dG-I,397.52,other,auxiliary (perfect),,claude-opus-5,aux
303,panel,etw./jdn. (Akk) haben,,haben,Und da haben sie natürlich einen höheren Nutzungsgrad genommen von 260 % und kommen dann auf 12.980 Kilowattstunden pro Jahr.,1nnKydcqmDI,874.92,other,auxiliary (perfect),,claude-opus-5,aux
304,panel,etw. (Akk) können,,kann,Sie kann mir nicht widerstehen.,JjumhnExzY4,505.083,other,modal,,claude-opus-5,modal
305,panel,etw. (Akk) können,,können,"Bisher wissen wir eigentlich nur: Das heißt, Geimpfte können andere immer noch anstecken, aber: Wir wissen nur nicht, wie viel.",a_NpJU12_LA,1177.56,other,modal,,claude-opus-5,modal
306,panel,etw. (Akk) können,,können,Da können wir auch keine Landwirtschaft betreiben.,dWWkxJSJ9fY,325.2,other,modal,,claude-opus-5,modal
307,panel,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,Was gibt zum Essen,Was gibt es zum Essen bei Lisa?,5ByjOu_e6_U,632.333,construction,es gibt,,claude-opus-5,es_gibt
308,panel,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,Gibt tragische Unfälle,"Gibt es tragische Unfälle, bei denen jemand von seinem Gurt getötet wird?",4E0dwFS72gk,521.32,construction,es gibt,,claude-opus-5,es_gibt
309,panel,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt kerngesunde Menschen,"Also es gibt kerngesunde Menschen mit hohem BMI, es gibt Menschen mit Typ-2- Diabetes und niedrigem BMI.",4r4Qg5SPbI4,677.0,construction,es gibt,,claude-opus-5,es_gibt
310,panel,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,mir mir gesagt,"Da hab ich mir gesagt, ich muss mein Verhältnis auch nochmal überdenken und lass es jetzt laufen.",T3F2RD7ZVtw,582.411,frame,,,claude-opus-5,
311,panel,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,Baalbek uns sagt,"Ein philosophischer Zusatz, ganz kurz: Was Baalbek uns tatsächlich sagt, geht über den Trilithon hinaus.",NTOAGb2X6_o,4563.44,frame,,,claude-opus-5,
312,panel,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,gesagt,"Vorhin haben Sie gesagt, Sie haben echt 3 Leben parallel geführt.",MHjZ-4z8do8,1177.72,frame,,,claude-opus-5,
313,panel,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,machen viele Deutsche zu Mittätern,Genau so machen die Nazis viele Deutsche zu Mittätern.,dD4y3B27VMM,743.16,other,jdn. zu etw. machen,,claude-opus-5,
314,panel,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,was machen,"Man weiß gar nicht, was man machen soll, weil etwas richtig Schlimmes passiert ist.",yfm_9UKzPg4,430.1128358208956,frame,,,claude-opus-5,
315,panel,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,machen Russland,"Donald Trump sagt deshalb: Wenn wir uns Grönland nicht nehmen, dann machen es Russland oder China.",Q0uFqATnGTM,261.68,frame,,,claude-opus-5,
316,panel,"all, alle",,alle,"Erstens, die reichen Leute gucken alle so vergriest, die sind alle so schlecht gelaunt, ich weiß gar nicht warum, ehrlich gesagt.",T3F2RD7ZVtw,1174.494,frame,,,claude-opus-5,
317,panel,"all, alle",,alles,"Dann kann der Bundespräsident sagen: Okay, das ist alles total unsicher und so. Es muss Neuwahlen geben und zwar innerhalb von 60 Tagen.",6GiiP5ZXe4s,395.9,frame,,,claude-opus-5,
318,panel,"all, alle",,all,Doch all das war Hitler und seinen Kumpanen in Berlin nicht genug.,6j7502LJKcU,7571.92,frame,,,claude-opus-5,
319,panel,etw. (Akk) wollen,,will,"Die RAF will den Staat dazu bringen, dass er seine rechtsstaatlichen Prinzipien über Bord wirft.",iDyR4jfnW20,502.15,other,modal,,claude-opus-5,modal
320,panel,etw. (Akk) wollen,,wollt,"Wenn ihr mehr über das antike Griechenland erfahren wollt, schaut in dieses Video rein. da gibt's viele Infos.",RrR24OdYEXs,188.72,other,modal,,claude-opus-5,modal
321,panel,etw. (Akk) wollen,,wollen,"Wie gesagt, ich würde niemandem vorgeben wollen, wie sie oder er zu schreiben hat.",1h_jPCsBGNk,828.48,other,modal,,claude-opus-5,modal
322,panel,etw./jdn. (Akk) sehen,etwas sehen means to perceive with the eyes or to notice.,es sehen,Du wirst es schon sehen.,6w4tQLIcgog,28.698,frame,,,claude-opus-5,
323,panel,etw./jdn. (Akk) sehen,etwas sehen means to perceive with the eyes or to notice.,über die ein Video auf meinem Kanal sehen,"Und wenn es Verben gibt, über die ihr gerne ein Video auf meinem Kanal sehen möchtet, schreibt mir gerne einen Kommentar.",WyeyiX97oP0,1085.22,frame,,,claude-opus-5,
324,panel,etw./jdn. (Akk) sehen,etwas sehen means to perceive with the eyes or to notice.,sehen uns uns in 2 Wochen,Deswegen sehen wir uns in 2 Wochen.,3z0gnXgK8Do,1338.92,frame,,reciprocal,claude-opus-5,
325,panel,das Jahr,das Jahr means year.,zwei Jahren,"So wie vor zwei Jahren, bei der namentlichen Abstimmung zur Flüchtlingsunterkunft in Prenzlau.",oZlJeK-AacE,2201.8,frame,,,claude-opus-5,
326,panel,das Jahr,das Jahr means year.,Jahr 2014,Im Jahr 2014 wurden sowohl Truus als auch Freddie für ihren Einsatz im Zweiten Weltkrieg vom niederländischen Ministerpräsidenten mit dem Mobilisierungskreuz ausgezeichnet.,ccfsN6nuAOs,717.69,frame,,,claude-opus-5,
327,panel,das Jahr,das Jahr means year.,Jahr 2000,"Das Personal ist von weit mehr als 300.000 aktiven Soldaten im Jahr 2000, inklusive Grundwehrdienstleistenden, auf inzwischen rund 180.000 Soldaten geschrumpft.",4h3w-IPhKaY,182.6,frame,,,claude-opus-5,
328,panel,etw. (Akk) wissen,etwas wissen means to know something.,ihr aus unserem Video wisst,"Wie ihr bereits aus unserem Video über Eulen und Lärchen, also Spät- und Frühaufsteher wisst, stellt Licht unsere innere Uhr.",R6T_NCczXLY,390.72,frame,,,claude-opus-5,
329,panel,etw. (Akk) wissen,etwas wissen means to know something.,wissen,Wir wollen mal wissen: Wie gut wissen die Wiesn-Besucherinnen Und Wiesn-Besucher Bescheid über die Geschichte dieses Festes hier.,xR44_JqDPFw,26.72,frame,,Bescheid wissen also in the sentence,claude-opus-5,
330,panel,etw. (Akk) wissen,etwas wissen means to know something.,weiß wie,Ich weiß aber nicht wie.,CZnQFR9BL18,160.379,frame,,,claude-opus-5,
331,panel,der Mensch,der Mensch means person/people.,Menschen,"Menschen, die vor 35 mit dem Rauchen aufhören, sterben nicht früher als Nichtraucher.",_bWjmkmxS3M,575.2106666666665,frame,,,claude-opus-5,
332,panel,der Mensch,der Mensch means person/people.,Tausend Menschen,Währenddessen sterben weiter viele Tausend Menschen.,A5K_hGOVs6M,517.36,frame,,,claude-opus-5,
333,panel,der Mensch,der Mensch means person/people.,der Menschen,"Und zwar nicht durch eine Reformation der Institutionen, sondern eine Reformation des Denkens und Fühlens der Menschen.",nXmJwPj6c9s,647.528,frame,,,claude-opus-5,
334,panel,etw./jdn. (Akk) finden,etwas finden means to find something.,Den Link findet in der Infobox,Den Link findet ihr unten in der Infobox.,FxV20b8bnT0,728.0136363636364,frame,,,claude-opus-5,
335,panel,etw./jdn. (Akk) finden,etwas finden means to find something.,was finden,"Dann machen wir auf und gucken in die Wohnung, ob wir was finden, was uns oder dem Gläubiger weiterhilft.",DibNfVSpuGg,302.48,frame,,,claude-opus-5,
336,panel,etw./jdn. (Akk) finden,etwas finden means to find something.,die Awards finde,"Deswegen möchte ich heute nicht auf ethischer Ebene rumheulen, warum ich die Awards geschmacklos finde, sondern das Ganze rein wissenschaftlich angehen.",zTLflri1TRM,137.12,other,etw. + Adj finden (consider),,claude-opus-5,
337,panel,das Video,das Video means video.,Das Video,Das Video gibt es nicht mehr.,AZpPKf59aBI,286.638,frame,,,claude-opus-5,
338,panel,das Video,das Video means video.,Videos,"Im Netz tauchen Videos auf, in denen Männer sozusagen von der Straße weg gegen ihren Willen eingesammelt werden.",BZVRgZ5Dg68,617.6,frame,,,claude-opus-5,
339,panel,das Video,das Video means video.,Das nächste Video,Das nächste Video wird das beste bis jetzt.,k7FWuyJtWcs,526.38,frame,,,claude-opus-5,
340,panel,etw. (Akk) tun,etwas tun means to do something.,das tut,"Ob er das wirklich tut, ist umstritten.",_hcvUfc2Lww,251.4,frame,,,claude-opus-5,
341,panel,etw. (Akk) tun,etwas tun means to do something.,Das tun zum einen,"Das tun wir zum einen, indem wir diese Menschen tracken über eine App oder über einen GPS-Logger.",G3SEEdNapfU,143.82,frame,,,claude-opus-5,
342,panel,etw. (Akk) tun,etwas tun means to do something.,viel tun,"Von nichts kommt nichts.” Also: Man muss sich anstrengen und viel dafür tun, um so gut Klavier zu spielen.",gVKJIDL3-FI,285.8901694915253,frame,,,claude-opus-5,
343,panel,jdm. (Dat) stehen,jemandem stehen means to suit someone (in terms of appearance or style).,steht,"Da steht, dass ich noch 22,06€ habe.",VjTd2EsgkHM,183.60522105263158,other,stehen (be written),,claude-opus-5,
344,panel,jdm. (Dat) stehen,jemandem stehen means to suit someone (in terms of appearance or style).,steht ihr zur Beschneidung,Und wie steht ihr zur Beschneidung bei Jungen?,CzsTk_JRj80,1025.84,other,zu etw. stehen (have a position on),,claude-opus-5,
345,panel,jdm. (Dat) stehen,jemandem stehen means to suit someone (in terms of appearance or style).,steht,"Es sollte keinen Unterschied machen, ob ein Argument auf einem neutralen Blatt Papier geschrieben steht oder ob eine Person dieses Argument vorträgt.",4K2Pm82lBi8,1263.76,other,stehen (be written),,claude-opus-5,
346,panel,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,über alles sprechen,"Das heißt, wir können wirklich über alles sprechen, was uns interessiert, deswegen ist das wirklich nicht so schwierig.",xnqTeFypXjk,1123.1,frame,,,claude-opus-5,
347,panel,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,In dieser Folge sprechen,"In dieser Folge sprechen wir darüber, wie ihr auf Deutsch über euch selbst sprechen könnt.",i_TIn1ZYJH4,24.612,frame,,,claude-opus-5,
348,panel,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,sprechen,Darüber sprechen wir jetzt. (Lockere Musik) (Abfallende Töne) Das hier ist Hunter Biden. 53 Jahre alt und Sohn des amtierenden US-Präsidenten Joe Biden.,2o3yqD1gJgo,66.4,frame,,,claude-opus-5,
349,panel,das Beispiel,das Beispiel means example.,Beispiel,"Etwa, indem es schlechte Erinnerungen einfach löscht oder Charakterzüge verändert, zum Beispiel Neid, Sucht oder Faulheit.",hHvIrQKy90w,652.7,construction,zum Beispiel,,claude-opus-5,
350,panel,das Beispiel,das Beispiel means example.,Beispiel,"Als Beispiel: Ich weiß, dass Lena gerne mit Tim spielt, weil er ihr bester Freund ist.",2dvXpCSK4-Y,271.76083333333327,frame,,,claude-opus-5,
351,panel,das Beispiel,das Beispiel means example.,Beispiel,"Obwohl Preußen zum Beispiel im August 1759 bei Kunersdorf gegen die Österreicher und Russen eine schwere Niederlage einsteckt, scheidet es nicht aus dem Krieg aus.",9-c1z6ra8Lk,333.56,construction,zum Beispiel,,claude-opus-5,
352,panel,"selbst, selber",selbst means oneself / by oneself.,selbst,Eigentlich können das nur die Forscher und Wissenschaftler selbst.,BFmsurpE-Ho,322.6911627906977,frame,,,claude-opus-5,
353,panel,"selbst, selber",selbst means oneself / by oneself.,selbst,"Ich hab nicht gefragt, frag sie doch selbst.",GTpa2G5TPII,5828.427,frame,,,claude-opus-5,
354,panel,"selbst, selber",selbst means oneself / by oneself.,selbst,"Die Unis sind selbst überfordert, kriegen's organisatorisch nicht hin.",blktjPp2E6A,381.4,frame,,,claude-opus-5,
355,panel,die Zeit,die Zeit means the indefinite duration in which events occur.,viel Zeit,Zehn Minuten ist nicht viel Zeit.,YjKKy361zZ0,635.32,frame,,,claude-opus-5,
356,panel,die Zeit,die Zeit means the indefinite duration in which events occur.,mehr Zeit,"Und mit ""überreagieren"" meine ich, wir müssen der Sache einfach noch mehr Zeit geben.",98S3JDk_7Ww,1777.734,frame,,,claude-opus-5,
357,panel,die Zeit,die Zeit means the indefinite duration in which events occur.,Zeit,Es wird langsam Zeit loszufahren.,fYgLgD-LrL4,129.062,construction,es wird Zeit,,claude-opus-5,
358,panel,das Land,das Land means country.,Land,Denn nach zahlreichen Lebensmittelskandalen wächst der Unmut im Land.,nL_78p6kljg,1472.76,frame,,,claude-opus-5,
359,panel,das Land,das Land means country.,Land,Die Hoffnung auf eine Veränderung im Land ist groß.,ujGSxTlRnOc,148.28,frame,,,claude-opus-5,
360,panel,das Land,das Land means country.,ein eigenes Land,"Der Süden Sudans wollte auch schon vor der Unabhängigkeit komplett eigenständig werden, ein eigenes Land.",l7eGIVjeo0k,209.16,frame,,,claude-opus-5,
361,panel,etw. (Akk) bekommen,etwas bekommen means to receive or obtain something.,bekam von dieser Bank ein Schreiben,Die Mandantin bekam von exakt dieser Bank ein Schreiben.,2YnZu0ql_14,1613.8,frame,,,claude-opus-5,
362,panel,etw. (Akk) bekommen,etwas bekommen means to receive or obtain something.,ein Kind bekommen,"Und was wäre, wenn wir zusammen ein Kind bekommen hätten?",GTpa2G5TPII,5997.168,frame,,ein Kind bekommen,claude-opus-5,
363,panel,etw. (Akk) bekommen,etwas bekommen means to receive or obtain something.,reinen Stoff bekommen,"Und vor allen Dingen möchte man dafür sorgen, dass die Menschen reinen Stoff bekommen und nichts Verunreinigtes.",sNKHvL_86oc,535.04,frame,,,claude-opus-5,
364,panel,etw./jdn. (Akk) brauchen,etwas brauchen means to need something.,brauche eine gute Note,Ich brauche unbedingt eine gute Note.,ei16eEqGZgU,1181.34,frame,,,claude-opus-5,
365,panel,etw./jdn. (Akk) brauchen,etwas brauchen means to need something.,braucht,"Sie sind einfach entschlossen, die Sache öffentlich zu machen, aber deswegen braucht man sich nicht besoffen zu reden.",Vb9df_r0pZo,4662.612376623379,other,brauchen zu + inf (need to),,claude-opus-5,
366,panel,etw./jdn. (Akk) brauchen,etwas brauchen means to need something.,brauchte eine andere Herausforderung,"Und ich brauchte eine andere Herausforderung, weil ich dachte, die Alpen ist was anderes als Jakobsweg.",TqQwdRQRT-4,3763.56,frame,,,claude-opus-5,
367,panel,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,bedeutet,"Zum Beispiel das Verb ""zurechtschneiden"": Das bedeutet, dass man etwas so schneidet, dass es die richtige Form oder Größe hat.",2FWp-_sYKsg,75.3,other,bedeuten (signify),,claude-opus-5,
